A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m)
0.001,0.00291705331802368,0.23792045020696,420.308552346018,90,2917.05331802368,0.00215394942161581,0,703.825846354166,20.0104517665216,0.843696793101564,118.525992770915,0.982157479244462,28.4309703461107,0.22099791989826,0
8.5,0.265914867496491,0.520067909863558,192.282580992616,90,31.2841020584106,0.200842756983986,0,703.98095703125,19.9104517665216,0.847654518544152,117.972591205849,0.987090840017207,28.2826567503839,0.22215682786216,0
17,0.371850839051695,0.711778245588907,140.493195204726,67.2814159067107,21.8735787677468,0.287249991137451,0,704.136067708333,19.8104517665216,0.851641860762114,117.420249763806,0.992074013856352,28.1344084972046,0.223327435791084,0
25.5,0.450367010042523,0.844415976437564,118.425044990126,49.6055493489887,17.6614513742166,0.355757019853545,0,704.298014322916,19.7104517665216,0.855666712307056,116.867932995055,0.997107759086234,27.985953908262,0.224512100883746,0
34,0.514316331014974,0.945319680905377,105.784320394372,41.8286184400855,15.1269509122051,0.415363634326996,0,704.4599609375,19.6104517665216,0.859741237854114,116.314067066966,1.00219284950286,27.8375675750597,0.225708847952967,0
42.5,0.568753314416338,1.02556577405343,97.5071541289463,37.090332900898,13.3824309274433,0.469510012137982,0,704.628743489583,19.5104517665216,0.86385364260391,115.76034998078,1.00733007477051,27.688980823999,0.226920064234857,0
51,0.616303441290287,1.09107324210054,91.6528754820154,33.8171296121619,12.0843812017703,0.519942660056033,0,704.797526041667,19.4104517665216,0.86799889410858,115.207520054157,1.01252024083063,27.5404652390537,0.228143760558907,0
59.5,0.658563529482626,1.14547388554472,87.3001133085162,31.3879791158435,11.0682946131534,0.56767420156243,0,704.96630859375,19.3104517665216,0.872190155898039,114.653896657474,1.01776417032343,27.3920207691083,0.229380130810412,0
68,0.696579940300792,1.19122013891758,83.9475397812419,29.4988305921849,10.2438226514822,0.613363343055381,0,705.141927083333,19.2104517665216,0.876399911263115,114.103160800045,1.02306270302264,27.2433832519099,0.230631608749956,0
76.5,0.731086260453359,1.23003939841497,81.2982089263649,27.9801009439836,9.55668314318116,0.657465065341497,0,705.317545572917,19.1104517665216,0.879133087110595,113.748420422516,1.02841669628391,27.0948197538437,0.231896184003522,0
85,0.762638250735685,1.26323678834154,79.1617224283714,26.7279352673145,8.97221471453748,0.700293685236833,0,705.5,19.0104517665216,0.884960702982706,112.999367839675,1.03382702550742,26.9460691233474,0.233176322617518,0
93.5,0.791654950783229,1.29179640149187,77.4115796301274,25.6752349362365,8.46689786933935,0.742088236345981,0,714,15.5774326165546,1.06089327459879,94.26018846035,1.26169961670431,21.8171325161829,0.287993177037313,0
102,0.818464050940071,1.31649590739253,75.9592182842875,24.7763700559877,8.02415736215756,0.783033659934374,0,722.5,13.5421671175864,1.19870639114755,83.4232642275875,1.45135959832717,18.7434838997736,0.335219713729713,0
110.5,0.843339865462433,1.33795185498394,74.7411049414783,23.9987189433247,7.63203498156048,0.823264741626603,0,731,12.1590439015816,1.31133936191942,76.2579107315357,1.61649714803674,16.6334389898517,0.377744212186852,0
119,0.86649772441033,1.35666918782404,73.7099367314368,23.3187719738242,7.28149348243975,0.862897882464949,0,739.5,11.1415133958248,1.40560264933878,71.1438613515999,1.76417308057128,15.0662791018591,0.417036301046905,0
127.5,0.888119876952776,1.37306036856764,72.8300097280636,22.7188247131487,6.96564609374726,0.902024768789173,0,748,10.3528608634756,1.48564826219002,67.3106835211374,1.89861041227691,13.8407230795129,0.453963660069176,0
136,0.908367550010789,1.38746412239304,72.0739357407844,22.185128286744,6.67917316184404,0.940713042607339,0,756.5,9.71855943453932,1.55425127851333,64.3396607629957,2.02257697738608,12.8467408255642,0.489087885596356,0
144.5,0.92737137035073,1.40016736916885,71.420033206002,21.7071446385743,6.41779495052409,0.979025561835143,0,765,9.19406961363832,1.6133898456017,61.9812999769474,2.13801012246334,12.0183916518148,0.522797516440631,0
153,0.945242547223755,1.41140805397953,70.851232369013,21.2765469069401,6.17805586420755,1.01701658989215,0,773.5,8.75093174653762,1.66454124203363,60.0766129878684,2.24633084530056,11.313421779622,0.555374441930293,0
161.5,0.962092217923588,1.42138548093448,70.3538915665974,20.8863042582227,5.95722735556401,1.0547163860233,0,782,8.37000778604911,1.70884891993847,58.5189239570696,2.34861872706076,10.7033347647687,0.587030625993447,0
170,0.977994197488783,1.4302778750337,69.9164838843946,20.531226914215,5.75290704405166,1.09217570509439,0,790.5,8.03788701974546,1.74722334512608,57.2336675096245,2.44572008305813,10.1681050218159,0.617930803596037,0
178.5,0.993043037403233,1.43822448717176,69.5301748036899,20.2063955993267,5.5632663159845,1.12940581131746,0,799,7.74487942069126,1.78041056035681,56.166820297875,2.53830708799214,9.69321579560858,0.648204418396021,0
187,1.00729369360884,1.44535079404153,69.1873560468853,19.9083377143849,5.38659729202589,1.166447938568,0,807.5,7.48375650609201,1.80901644565604,55.2786572173672,2.62693465254517,9.26780991466503,0.677957938826228,0
195.5,1.02081459514181,1.45176652580796,68.8815992257062,19.6337340916186,5.22155803141592,1.20331618826724,0,816,7.24903181485514,1.83357255862325,54.5383380274219,2.71205775840014,8.88361742016561,0.707277791242664,0
204,1.0336596166482,1.45756069722981,68.6077774943142,19.3799295946683,5.06695890513824,1.24003083995965,0,824.5,7.03644517270049,1.85452106489215,53.9222777746209,2.79405910601383,8.53419669217767,0.736236289578218,0
212.5,1.04587822383674,1.46281191338004,68.3614886406928,19.1446416505417,4.92177987687879,1.27660835396079,0,833,6.84263478444369,1.87224866000253,53.4117086775562,2.87326336249161,8.21444752034056,0.76489444866757,0
221,1.05752333804872,1.46758839989625,68.1389959249263,18.9257588759339,4.78517347533359,1.31305277427618,0,841.5,6.66490160016606,1.88709429199754,52.9915226939441,2.94995167872063,7.92026333947245,0.79330510083748,0
229.5,1.06862187677065,1.47194986329155,67.9370965641328,18.721847654558,4.6563044739462,1.34939313834317,0,850,6.50106826227375,1.89935323352484,52.6495010169429,3.02436164317302,7.648315602675,0.821512295463075,0
238,1.07922659013075,1.47593667440333,67.7535843740902,18.53115032633,4.53456550475104,1.38562014389173,0,858.5,6.3493401196366,1.90929344172122,52.375395952678,3.09670347266235,7.39585337173745,0.849555148184817,0
246.5,1.08935945070523,1.4796142536018,67.5851829330326,18.352599690413,4.41930811645122,1.42175769184093,0,867,6.20822647603436,1.91715522957749,52.1606171775869,3.16716284985101,7.16058417074321,0.87746825641007,0
255,1.09904763801597,1.48299568779519,67.4310794178186,18.1851312975701,4.30999073731753,1.45781874953405,0,875.5,6.0764906044728,1.92314965848128,51.9980333090512,3.23589798484486,6.94059463674791,0.905280546700194,0
263.5,1.10833431902886,1.48636014023647,67.2784457097261,18.0274985453705,4.20620234925565,1.4937905467842,0,884,5.95307873098151,1.92747082367302,51.8814597719506,3.30305427928436,6.73425195812388,0.933019041498715,0
272,1.11723613331765,1.48904299432376,67.1572280862276,17.8789876458358,4.10748578425607,1.52969130928291,0,892.5,5.83710714195613,1.93029694065976,51.8055009535585,3.36875431536786,6.54017606941863,0.960705834290806,0
280.5,1.12577989733689,1.49175190498084,67.0352755482382,17.7387730295329,4.01347556982847,1.56552225069309,0,901,5.72781140464854,1.93178534333777,51.7655858322325,3.43311181330221,6.35717137030915,0.988361795078372,0
289,1.13398001264466,1.49427917907653,66.9218987992594,17.6062861362351,3.92380627212684,1.60129855334929,0,909.5,5.62452654931714,1.93208641922449,51.7575192315355,3.49623272265353,6.18419631590669,1.01600676728491,0
297.5,1.14187032134992,1.49665048016146,66.8158673822174,17.4806908848043,3.83821956756274,1.63700517820282,0,918,5.52670498309781,1.93133727380702,51.7775954289339,3.55819431936188,6.02037579858149,1.04365333949087,0
