S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
0.001,6.73530163288116,6.735440765411,14.8468383113897,2.91909077114673,6735301.63288116,9.32873633528989e-07,0,1091.75776692708,20.0242983658392,-0.277408406841655,-360.479342131402,0.981478260844064,18.3413381360232,0.342569623905418,0,1330.33854166667,20.0958227906754,2.64261715818737,37.8412740151101,0.977984674170808,15.1057961272768,0.415945326829476,0
8.5,6.73534380674362,6.73514874525574,14.8474820352617,2.91907247720909,792.393389028661,0.0079293762342991,0,1091.67922526041,19.9242983658392,-0.277111732347051,-360.865269590106,0.986404783119562,18.2510557174764,0.344264211585475,0,1331.35384114583,19.9958227906754,2.65749270857908,37.6294541381709,0.982876097688692,15.0191648325932,0.418344520298784,0
17,6.73505116939545,6.73427080797133,14.8494176803271,2.91919942049649,396.179480552673,0.015859441529921,0,1091.60943359375,19.8242983658392,-0.276809584824636,-361.259166886696,0.991381014657036,18.1606147361466,0.34597866858954,0,1332.38346354167,19.8958227906754,2.67258789427795,37.4169172187383,0.987816698835985,14.9325050445984,0.420772354565682,0
25.5,6.73456329584122,6.73280705382801,14.8526460361201,2.91941107994546,264.100521405538,0.0237908856587658,0,1091.53089192708,19.7242983658392,-0.276483776838813,-361.684874039821,0.996407711669116,18.0703070446465,0.347707722489476,0,1333.4345703125,19.7958227906754,2.68791733657371,37.203525063561,0.992807223033615,14.8457398896116,0.423231536716892,0
34,6.73387994766235,6.73075669454102,14.8571705289994,2.91970759589133,198.055292578305,0.0317243999157226,0,1091.45235026041,19.6242983658392,-0.27614878985183,-362.123622028747,1.00148564578612,17.9799863559385,0.349454397950883,0,1334.5,19.6958227906754,2.70338993907468,36.9905941257695,0.997848430844962,14.7589530091236,0.425720259648194,0
42.5,6.7329992860335,6.72811861008068,14.8629960016119,2.92008981825008,158.423512612553,0.0396606867475916,0,1091.37380859375,19.5242983658392,-0.275796272866538,-362.586480812927,1.00661560445101,17.8896526672164,0.351218965737317,0,1343,18.9606318782164,2.8242876541112,35.407158280933,1.03654374716745,14.1181175563786,0.44504412731291,0
51,6.73192484014536,6.72489141750301,14.8701285703629,2.92055628193337,131.99852627736,0.0476004201287606,0,1091.29526692708,19.4242983658392,-0.275433785462992,-363.063666397731,1.01179839132655,17.7993059756734,0.353001702188104,0,1351.5,18.3180573409654,2.94111445978364,34.0007168600152,1.07290858375242,13.5538715064487,0.463571261110906,0
59.5,6.73065351306548,6.72107337213351,14.8785758558467,2.92110841291596,113.120227110344,0.0555443130524358,0,1091.21672526041,19.3242983658392,-0.275050275774496,-363.569895425178,1.0170348267151,17.7089462785017,0.354802889362606,0,1360,17.7510472004289,3.05429444676218,32.740785717634,1.10718400432281,13.0522405885507,0.481387487807353,0
68,6.72918666047437,6.71666244635217,14.888346823847,2.9217457192075,98.9586273599172,0.063493052347294,0,1091.13818359375,19.2242983658392,-0.274657823643584,-364.089391932877,1.02232574799154,17.618573572893,0.356622815188998,0,1368.5,17.2465852968053,3.16416078384725,31.6039565721472,1.13957330077116,12.6025468007346,0.498564727156049,0
76.5,6.7275158057889,6.71165610855675,14.8994522935269,2.92247199770344,87.9413830822078,0.0714474242610677,0,1091.05964192708,19.1242983658392,-0.274250624940948,-364.629980411283,1.02767201004978,17.5281878560379,0.358461773617702,0,1377,16.7945621218516,3.27097385744002,30.5719349521991,1.17024895876821,12.196486653487,0.515163545510314,0
85,6.72565357379003,6.70605197009157,14.911903523264,2.92328188888137,79.1253361622356,0.0794080077498411,0,1090.98110026041,19.0242983658392,-0.273830349604907,-365.18961519161,1.0330744857633,17.4377891251262,0.360320064779664,0,1385.5,16.3869883522568,3.37494274847239,29.630132257877,1.19935934811378,11.8274906909107,0.531235700908913,0
