A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m)
0.001,0.00434752759933472,0.360825873483876,277.141988279476,90,4347.52759933472,0.00144523183892865,0,632.681803385416,20.0173253299752,3.39514333306316,29.4538374937409,0.981820192288272,31.638851035172,0.198590817984975,0
8.5,0.391582060909271,0.748146767295908,133.663613038707,61.155695251637,46.0684777540319,0.136387951447553,0,633.3291015625,19.9173253299752,3.41157795378535,29.3119492957926,0.986750156597275,31.4486185473504,0.199792092543568,0
17,0.541060040543105,0.990395531551819,100.969760882617,39.3414649949168,31.827061208418,0.197416445899119,0,633.996907552083,19.8173253299752,3.4281950546833,29.1698688099409,0.991729882407234,31.2577633958682,0.201011992688195,0
25.5,0.647597690116619,1.13885979423175,87.8071212158804,31.9817976294593,25.3959878477106,0.247408580633181,0,634.671549479167,19.7173253299752,3.44495199710273,29.0279806755223,0.9967601269933,31.0669752664286,0.202246445085025,0
34,0.730992934119198,1.23838522009538,80.7503177341687,27.9839872043315,21.4997921799764,0.292244001922556,0,635.35986328125,19.6173253299752,3.46187711209823,28.8860628964933,1.00184166307546,30.8759279011796,0.203497861741656,0
42.5,0.799183331189108,1.30771175046235,76.469451287445,25.4160479078636,18.8043136750378,0.334135316808735,0,636.061848958333,19.5173253299752,3.47894722503024,28.7443279623567,1.00697527921435,30.6846344611587,0.204766503415023,0
51,0.856390179805191,1.35695560306234,73.6943786328179,23.6105883684042,16.7919643099057,0.374178100382996,0,636.770670572917,19.4173253299752,3.49619397909959,28.6025319526905,1.01216178021924,30.4934354349345,0.206050424216267,0
59.5,0.905206644069197,1.39230562397223,71.8233111166365,22.2667393439238,15.2135570431798,0.412999096092149,0,637.5,19.3173253299752,3.51361458917912,28.4607197123925,1.01740198756877,30.3016867921179,0.207354308368535,0
68,0.947375798044323,1.41782493152358,70.5305695905212,21.2263152181826,13.9319970300636,0.450989566938697,0,646,18.2717506097534,3.7062657724601,26.9813354301419,1.07562801226081,28.2844436683489,0.222142792725693,0
76.5,0.984168281935585,1.43629559448251,69.6235512969247,20.3966736981715,12.8649448619031,0.488395820940202,0,654.5,17.4092939685215,3.88113732340699,25.7656433326654,1.12892137140372,26.5993796310489,0.236215483004925,0
85,1.01651889979066,1.44968621505503,68.9804448448895,19.7201350664119,11.9590458798901,0.525391855695208,0,663,16.6834252656726,4.04095777369996,24.7466085022805,1.17804568262375,25.1635373539557,0.249694040181989,0
93.5,1.04514556346637,1.45941117550751,68.5207854223984,19.1585856993547,11.1780274167526,0.562101439987786,0,671.5,16.0625554377666,4.18782382375479,23.8787504461781,1.22358776110355,23.9204101828245,0.262670466733513,0
102,1.07064468026833,1.46649503005218,68.1897980905137,18.6851647575581,10.4965164732189,0.598597193955792,0,680,15.5243685395022,4.32339508697968,23.1299703099445,1.2660129519002,22.8299537345621,0.275216734130631,0
110.5,1.09347000052087,1.47169498609931,67.9488623284963,18.2811632056191,9.895656113311,0.634943780910883,0,688.5,15.0526467377238,4.44900321439011,22.4769448753272,1.30569419545153,21.862958224726,0.287389530849197,0
119,1.11400777341899,1.47556357801628,67.7707158741599,17.9325584017647,9.3614098606638,0.671179384376838,0,697,14.6352406034426,4.56574576740387,21.9022269513839,1.34294012958242,20.9974757581673,0.299235269017308,0
127.5,1.13257751021787,1.47850863609415,67.6357226185538,17.628803081368,8.88296086445389,0.707330067424075,0,705.5,14.26286607927,4.67453691320769,21.3924933863405,1.37800825018448,20.2166776460241,0.310792179466504,0
136,1.14943806958189,1.48082929289199,67.529728429875,17.3619298345233,8.45175051163156,0.743418218336246,0,714,13.9283072971505,4.77614408137501,20.9373918157031,1.41111470703766,19.5074331892864,0.322091853203442,0
144.5,1.16481262749806,1.48274442781146,67.4425060208121,17.1256367673128,8.06098704150906,0.779456073409509,0,722.5,13.6258410825417,4.87122360963409,20.5287229685421,1.44244515746568,18.8592956159746,0.333161186670061,0
153,1.17889220922256,1.48441069056911,67.3668012736156,16.9149063273752,7.70517783805593,0.81544974551358,0,731,13.3508599344553,4.9603425533187,20.1598980161351,1.47216097016729,18.2638302796926,0.344023417375149,0
161.5,1.19183401224813,1.48594245759743,67.2973569660876,16.7257976036741,7.37977716562308,0.851405830578232,0,739.5,13.0996405545475,5.04398681051323,19.82558713111,1.5003998466679,17.7141860102063,0.354697941161928,0
170,1.20377421577196,1.48741823586432,67.2305862526226,16.5550920614092,7.0810247986586,0.887327115189577,0,748,12.8690911445814,5.1225883742881,19.5213811248102,1.52728578036962,17.2046673055901,0.365202371866736,0
178.5,1.21483114740426,1.48889233806251,67.1640235116862,16.4001378566716,6.80577673615834,0.923213550893863,0,756.5,12.6566591554876,5.1965219887353,19.243640307262,1.55292628832423,16.7305474626405,0.375551685992942,0
187,1.22511333797737,1.49039964331326,67.0960976464628,16.2586587174888,6.5514082244779,0.959058738502028,0,765,12.4602066963302,5.26611873445859,18.9893173782154,1.57741646725051,16.2878518906277,0.385758990772443,0
195.5,1.2346951547297,1.49196219397186,67.0258270645471,16.1290270628022,6.31557623902658,0.994871262633671,0,773.5,12.2779202412674,5.33167438070174,18.755834070054,1.60084192922244,15.8732000533515,0.395836081323309,0
204,1.2436547148277,1.49359107428381,66.9527300489196,16.0096960250094,6.09634664131225,1.03064764470596,0,782,12.1082449181248,5.39345524574313,18.5409900413889,1.62328081855116,15.4836891536123,0.405793815985627,0
212.5,1.25206742677519,1.49529019494606,66.8766506581738,15.8992665830991,5.89208200835383,1.06637777584753,0,790.5,11.9498645925141,5.45169357870875,18.3429238192227,1.64480122389911,15.1168432542872,0.415641361194748,0
221,1.25997488307349,1.49705958326434,66.7976085373634,15.7968680357573,5.70124381481217,1.10207272505265,0,799,11.8016354365644,5.50660684518355,18.1600035759711,1.66546579728256,14.770507429993,0.425387234457561,0
229.5,1.26743831716754,1.4988928348343,66.7159103546282,15.7014381433275,5.52260704648165,1.1377208724605,0,807.5,11.6625653840455,5.55838233170663,17.9908459030554,1.68533131029985,14.4428054291585,0.435039116049747,0
238,1.2744972389645,1.5007842825959,66.6318278780417,15.6122493330314,5.35503041581722,1.17332392522382,0,816,11.5317854650833,5.60719504190057,17.8342289242189,1.70444996005774,14.1320900307393,0.444604109761031,0
246.5,1.28118735967148,1.50272546639879,66.5457545213801,15.5286626402549,5.1975146436977,1.20888265602067,0,824.5,11.4085328148821,5.65320370112839,17.6890848599777,1.72286959201012,13.8369106305423,0.454088739527643,0
255,1.28754101434681,1.50470754584511,66.458096974476,15.4501148698766,5.04918044841888,1.24439706034811,0,833,11.2921439922304,5.69654915149972,17.5544873467252,1.74063275202026,13.5559951887519,0.463498638033823,0
263.5,1.2935875343479,1.506720359667,66.3693162161165,15.3761078772511,4.90925060473586,1.27986648331179,0,841.5,11.18202662614,5.73736380524826,17.4296076376619,1.7577793538051,13.2882075176946,0.472839192104193,0
272,1.29935948093097,1.50875456887158,66.2798324281409,15.3061283121707,4.77705691518738,1.31528374451723,0,850,11.0776439794476,5.7757640019355,17.3137268015953,1.77434786465005,13.0325223287619,0.482115829052754,0
280.5,1.30487495918442,1.51080126616129,66.1900424892312,15.2398582006826,4.65196063880362,1.35065315359063,0,858.5,10.9785349372352,5.81186186329068,17.2061900905848,1.79037103355863,12.7880430253177,0.491332825103902,0
289,1.31015613733628,1.51285160366348,66.1003364492875,15.1769455170737,4.53341223991792,1.38597263488514,0,867,10.8842849843989,5.84575227301688,17.1064382015613,1.80587945188673,12.5539619197219,0.500494214285362,0
