S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
0.001,6.73530163288116,6.735440765411,14.8468383113897,2.91909077114673,6735301.63288116,9.32873633528989e-07,0,1091.75667317709,20.0242956056987,-0.277355744660305,-360.547787183843,0.98147839614385,18.3413539826842,0.342569327930285,0,1330.33854166667,20.0958227454998,2.64176279679622,37.8535121023259,0.977984676369541,15.1057960933188,0.415945327764525,0
8.5,6.73534380674362,6.73514874526528,14.8474820352407,2.91907247720909,792.393389028661,0.0079293762342991,0,1091.68619791668,19.9242956056987,-0.277063115960376,-360.928590777494,0.986404919781097,18.2509366187109,0.344266458124569,0,1331.35384114583,19.9958227454998,2.65659185113483,37.6422143873108,0.982876099909475,15.0191647986612,0.41834452124393,0
17,6.73505116939545,6.73427080812402,14.8494176799904,2.91919942049649,396.179480552673,0.015859441529921,0,1091.60888671876,19.8242956056987,-0.2767572432411,-361.32748985682,0.991381152700982,18.1606213057573,0.345978543431644,0,1332.38346354167,19.8958227454998,2.67167863942737,37.4296513526168,0.987816701079151,14.9325050106925,0.420772355521091,0
25.5,6.73456329584122,6.73280705460137,14.8526460344141,2.91941107994546,264.100521405538,0.0237908856587658,0,1091.53157552084,19.7242956056987,-0.276435129912321,-361.748523176913,0.996407851116558,18.0702931990647,0.347707988905503,0,1333.4345703125,19.7958227454998,2.68696564424436,37.2167021242739,0.992807225299505,14.8457398557325,0.423231537682739,0
34,6.73387994766235,6.73075669698684,14.8571705236006,2.91970759589133,198.055292578305,0.0317243999157226,0,1091.45426432293,19.6242956056987,-0.276098982152987,-362.18894839891,1.00148578665857,17.9799522959145,0.349455059934017,0,1334.5,19.6958227454998,2.70247043364724,37.0031800366602,0.997848433133923,14.7589529752715,0.425720260624653,0
42.5,6.73299968843482,6.72811862826052,14.8629959614511,2.92008964357809,158.423522080819,0.0396606843772494,0,1091.37695312501,19.5242956056987,-0.275749357315895,-362.648170691623,1.00661574677043,17.8895985935873,0.351220027342138,0,1343,18.9606318315215,2.82332775114049,35.4191963577749,1.03654374972046,14.1181175216095,0.445044128408934,0
51,6.73192383285613,6.72489142532422,14.8701285530686,2.92055671931138,131.998506526591,0.0476004272511512,0,1091.29964192709,19.4242956056987,-0.275386261168182,-363.126321464994,1.01179853511534,17.7992320893627,0.353003167531851,0,1351.5,18.3180572929425,2.94011626605617,34.0122603838856,1.0729085865655,13.5538714709156,0.463571262326211,0
59.5,6.73065622283077,6.72107342965552,14.8785757285091,2.92110723585636,113.120272652618,0.0555442906902697,0,1091.22233072918,19.3242956056987,-0.274996427923589,-363.641087104543,1.01703497199614,17.7088527805198,0.354804762626478,0,1360,17.7510471512343,3.05326035056144,32.7518745598002,1.10718400739161,13.0522405523781,0.481387489141454,0
68,6.72918656765122,6.71666246910183,14.8883467734195,2.92174575954536,98.9586259948708,0.0634930532231243,0,1091.13818359376,19.2242956056987,-0.274610716139112,-364.151848864274,1.02232589478819,17.6185710432952,0.356622866391351,0,1368.5,17.2465852465681,3.16309362528127,31.6146190554533,1.13957330409104,12.6025467640249,0.498564728608306,0
76.5,6.72751958830045,6.71165626379497,14.8994519489079,2.92247035313288,87.9414325268032,0.0714473840901394,0,1091.06087239584,19.1242956056987,-0.274199539022571,-364.697914359982,1.02767215838588,17.5281655584477,0.358462229617143,0,1377,16.7945620706803,3.2698758974756,30.5822004061995,1.17024896233434,12.1964866163256,0.515163547079964,0
