S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
153,6.69778159767499,6.62190372297775,15.1013974505555,2.93545739170644,43.7763503116012,0.143529217544535,0,1094.79150390625,18.2330043475348,-0.0096201244128876,-10394.8759608592,1.07791405775415,16.65431662785,0.377270676881008,0,1470.5,13.2232702786699,4.08597701173864,24.473950713063,1.48636883657877,8.99236333129543,0.698724581702866,0
161.5,6.69339278877014,6.60859315515631,15.1318136329781,2.93738383724498,41.445156586812,0.151602402418692,0,1094.78938802084,18.1330043475348,-0.00560585024063569,-17838.5072214595,1.0838592518309,16.5630070458718,0.379350518283189,0,1479,13.057917731314,4.16650663576588,24.000921813393,1.50519504457953,8.82888284740637,0.711662552983742,0
170,6.68874207426514,6.59448439778811,15.1641878224083,2.93942800742798,39.3455416133244,0.159692433997446,0,1094.78727213542,18.0330043475348,-0.00150176161378749,-66588.4645618267,1.08987039458577,16.4716971109472,0.381453426739114,0,1487.5,12.9028327859111,4.24529759462308,23.5554746801864,1.5232908986947,8.67417330145287,0.724355519404621,0
178.5,6.68382843088893,6.579565686219,15.1985715728094,2.94159083968873,37.4444169797699,0.167800324159786,0,1094.7919921875,17.9330043475348,0.00267743048296592,37349.2423561358,1.09594858953663,16.3802845430965,0.38358218324282,0,1496,12.7570766391797,4.32235103531678,23.1355572888288,1.54069945132356,8.52745764651046,0.736818119495526,0
187,6.67865242582792,6.56382237358615,15.2350253112296,2.94387260183449,35.7147188546947,0.175927054969765,0,1094.78987630209,17.8330043475348,0.00694711497282894,14394.464521044,1.1020949649612,16.2889744722248,0.385732405554038,0,1504.5,12.6198413199225,4.3976649338589,22.7393404236123,1.55745799750268,8.38806335654536,0.749062690647979,0
195.5,6.67320817834837,6.54728956795478,15.2734958431413,2.94627643913887,34.1340571782525,0.184073791004918,0,1094.79459635417,17.7330043475348,0.0113058695826082,8844.9631644283,1.10831067459535,16.1975629095982,0.387909301062592,0,1513,12.4903937532337,4.47123870532822,22.3651669236164,1.5736031726176,8.25538252031306,0.761101656006767,0
204,6.66748178699651,6.52980129869257,15.3144016832522,2.94880909513147,32.6837342499829,0.192241965349565,0,1094.79931640625,17.6330043475348,0.0157541006444374,6347.55371042452,1.11459689835532,16.1061521351842,0.390110887718106,0,1521.5,12.3680824735114,4.5430799029592,22.0114992771453,1.58916892801745,8.12887444857798,0.772946531149676,0
212.5,6.66148560655834,6.51149572997741,15.3574545921336,2.95146574588223,31.3481675602746,0.200432299435003,0,1094.80403645834,17.5330043475348,0.0202923723002643,4927.96004923967,1.12095484308461,16.0147421489727,0.392337588000605,0,1530,12.2523313156798,4.61319085198323,21.6769700644424,1.60418615164629,8.00805968345082,0.784607702183364,0
221,6.65520692638477,6.49230197575544,15.4028571642902,2.95425269777004,30.1140584904288,0.208646247704426,0,1094.81559244792,17.4330043475348,0.0249290901221037,4011.37785254881,1.12738574332655,15.923233526987,0.394592297885397,0,1538.5,12.1426154814322,4.68158154407656,21.3603029357732,1.61868477862645,7.89250275036214,0.796095421935873,0
229.5,6.64864229647626,6.47224037953006,15.4506004313858,2.95717221201772,28.9701189388944,0.216885036627999,0,1094.8203125,17.3330043475348,0.0296621578697935,3371.29889332277,1.13389086212365,15.8318256883225,0.396870546131268,0,1547,12.0384700159835,4.74825959616384,21.0603481075025,1.63269188482423,7.78181642920719,0.807418854497409,0
238,6.64178127096307,6.45117536768957,15.5010512504195,2.96022971965503,27.9066439956432,0.225150158082804,0,1094.83186848959,17.2330043475348,0.0345003085272302,2898.52480365712,1.14047149184484,15.7403203574163,0.399177727295693,0,1555.5,11.9394824335323,4.81323236235874,20.7760590953466,1.64623187941739,7.67565569497413,0.81858613216506,0
246.5,6.634621241422,6.42920548254139,15.5540214528143,2.96342722581323,26.9152991538418,0.23344289325065,0,1094.85026041667,17.1330043475348,0.0394208103912594,2536.73120890921,1.14712895504164,15.6487192513563,0.401514347995924,0,1564,11.845274034879,4.87651071070239,20.5064657769605,1.65932841656303,7.5737046258817,0.829605274769759,0
255,6.62716042071804,6.40626874950753,15.6097104118036,2.9667664190102,25.9888643949727,0.24176451928369,0,1094.86181640625,17.0330043475348,0.0444579523155119,2249.31637180034,1.15386460533449,15.5572183560511,0.403875883424603,0,1572.5,11.7554850474269,4.93811392801959,20.2506465945602,1.67200603592989,7.47566616688518,0.840485003866558,0
263.5,6.61938617268494,6.38234433328617,15.6682238967373,2.97025390999302,25.1210101430169,0.25011674576017,0,1094.88020833334,16.9330043475348,0.0495990514520141,2016.16758934891,1.16067982833057,15.4656228312966,0.406267848098868,0,1581,11.6698243037711,4.99804951924075,20.0078049677249,1.68428269032344,7.38129304476353,0.851230979325097,0
