S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
0.001,6.56718813419342,6.56592641987063,15.2301432585914,2.99388383016381,6567188.13419342,9.56754272725169e-07,0,1067.37200416667,20.0028095515972,-0.0806071890297877,-1240.58413652219,0.98253275623836,18.7402418964642,0.335277705693066,0,1286.78190104167,20.0789650674932,2.29137399942513,43.6419371194263,0.97880584190528,15.6040157630745,0.402664634705649,0
8.5,6.56580864191055,6.56557456893988,15.23095944612,2.99451342569959,772.448075518889,0.00813411995745978,0,1067.34938046875,19.9028095515972,-0.0780588028240906,-1281.08549429531,0.987469897414442,18.6469490832106,0.336955138298569,0,1287.61100260417,19.9789650674932,2.30321393563395,43.4175907208877,0.983705504049475,15.5163050230901,0.404940821789044,0
17,6.56545745372772,6.56452091031772,15.2334041381186,2.99467374908753,386.203379631043,0.0162691101076904,0,1067.32675677084,19.8028095515972,-0.0754633419298777,-1325.14671948828,0.992456909072467,18.5536523149761,0.338649512263843,0,1288.46158854167,19.8789650674932,2.31524146822966,43.19203909062,0.988654468439084,15.4284499004685,0.407246699941566,0
25.5,6.56487185716629,6.56276375406119,15.2374828269748,2.9949411220934,257.445955182992,0.0244058420056105,0,1067.31096901042,19.7028095515972,-0.0728087779556028,-1373.46076679076,0.997494550705426,18.4602333562308,0.340363265508713,0,1289.3193359375,19.7789650674932,2.32739040478269,42.9665774141305,0.99365348302112,15.3406254883406,0.409578169544327,0
34,6.56405143260956,6.56030146465298,15.243201938021,2.99531579374522,193.060336253222,0.0325451899086015,0,1067.2883453125,19.6028095515972,-0.0701066634251302,-1426.39793586517,1.00258359730786,18.3669292723865,0.342092312438201,0,1290.19856770833,19.6789650674932,2.33973849217288,42.739819144118,0.998703310949384,15.2526638612281,0.41194019381436,0
42.5,6.56299225168768,6.55713179706677,15.2505703857796,2.99579963942269,154.423347098534,0.040688052844564,0,1067.27255755209,19.5028095515972,-0.0673491824181832,-1484.79901922316,1.0077248397734,18.2735041893414,0.343841292949409,0,1291.09212239583,19.5789650674932,2.35224496892918,42.5125789706857,1.00380473097292,15.1646538057727,0.414330942707559,0
51,6.56170240929552,6.55325181925902,15.2595997770321,2.99638906505831,128.660831554814,0.0488352611377514,0,1067.24993385417,19.4028095515972,-0.0645278875666408,-1549.71755268953,1.01291908530461,18.1801927890758,0.345606087904363,0,1292,19.4789650674932,2.36491789534132,42.284766078768,1.00895853783647,15.0765983494529,0.416750858618422,0
59.5,6.56017701951338,6.54866143458793,15.2702962275362,2.99708642949385,110.255075958208,0.0569877191827542,0,1067.23414609375,19.3028095515972,-0.0616567417445333,-1621.88265501179,1.01816715783556,18.0867615810912,0.347391393368525,0,1300.5,18.6221811317043,2.48119493968131,40.303161352104,1.0553846300135,14.3192473138826,0.438792987469949,0
68,6.5584088186624,6.54334568426116,15.2827016675173,2.99789520669744,96.4471885097411,0.0651463811881358,0,1067.21835833334,19.2028095515972,-0.0587178730700906,-1703.05896265404,1.02346989846763,17.993327608781,0.3491952930437,0,1309,17.8859360462968,2.59378260182521,38.5537322710205,1.09883302092406,13.6638166893024,0.459841159322547,0
76.5,6.556398008222,6.53731104353383,15.2968092437504,2.998815484676,85.704549127085,0.0733121563694678,0,1067.20257057292,19.1028095515972,-0.0557329892137915,-1794.26945173173,1.02882816591896,17.8998908720225,0.351018078942603,0,1317.5,17.2457823196955,2.70323124088321,36.9927657270369,1.13962636719321,13.0897778517613,0.480007023674139,0
85,6.55415253777416,6.53054701583327,15.3126529458483,2.99984382666532,77.1076769149901,0.0814858592369044,0,1067.179946875,19.0028095515972,-0.052676235397344,-1898.38926881707,1.03424283698818,17.8065654318587,0.352857788955641,0,1326,16.6836243324264,2.80993996758304,35.5879489076824,1.17803162436062,12.5819188027349,0.499382121732803,0
93.5,6.55165817973273,6.52305094762194,15.3302497256221,3.00098697747453,70.0712104784249,0.0896685709334819,0,1067.17099505209,18.9028095515972,-0.0495546582200126,-2017.97376052964,1.03971480703276,17.7130091046698,0.354721508358684,0,1334.5,16.1857404550787,2.91419923354807,34.314743772082,1.21427398661953,12.1286927351657,0.518043077219874,0
102,6.54892388588361,6.51480791710333,15.349646723654,3.00224109142606,64.2051361361138,0.0978611009228193,0,1067.15520729167,18.8028095515972,-0.0463757578880354,-2156.29899227586,1.04524499046275,17.6195640738303,0.356602767290468,0,1343,15.7415239362223,3.01621862596519,33.1540953759611,1.24854543255581,11.7211645094731,0.53605469849873,0
110.5,6.54594259771706,6.50582594481727,15.3708385143108,3.00360968762533,59.2392995268512,0.10606447674709,0,1067.13941953125,18.7028095515972,-0.0431296148104336,-2318.59246690533,1.05083432125022,17.5261162780516,0.35850414361613,0,1351.5,15.3426108609729,3.11615129034122,32.0908680878103,1.28101337796782,11.3522832859585,0.553473266030206,0
119,6.54271820646271,6.49606918632625,15.3939247153483,3.00509128910079,54.9808252643925,0.114279574323683,0,1067.13046770834,18.6028095515972,-0.03981428917613,-2511.66106614691,1.05648375345528,17.4325540451926,0.360428270630391,0,1360,14.9823344509619,3.21410382640025,31.1128717058274,1.311822903417,11.0164223904132,0.570347167574785,0
127.5,6.53923088877307,6.48554673187496,15.4189005390283,3.00669535170742,51.2880854021417,0.12250769857978,0,1067.11467994792,18.5028095515972,-0.0364310998352256,-2744.90752275639,1.06219426176908,17.3391013161774,0.36237087451109,0,1368.5,14.6552865523431,3.31015196452645,30.210093395004,1.34110287925679,10.70901465279,0.586719274451889,0
136,6.53549751766246,6.47426248214784,15.4457747543817,3.00841449147949,48.0551288063416,0.130749525872677,0,1067.105728125,18.4028095515972,-0.0329751476373657,-3032.58687723615,1.06796684207454,17.2455353453425,0.364336924389911,0,1377,14.3570398958013,3.40434713601399,29.3742077422474,1.36896759285536,10.4263180071178,0.602627437882691,0
144.5,6.53150620123341,6.46218419552887,15.4746440172951,3.01025458638199,45.2007349566326,0.13900626423902,0,1067.09677630209,18.3028095515972,-0.0294533410846956,-3395.20055508954,1.07380251202548,17.1519678046669,0.366324457854334,0,1385.5,14.0839255683407,3.49672205384639,28.5982124000963,1.39551970072658,10.1652295693546,0.618105598531853,0
