A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity 1 (m/ms),A0 Energy velocity 2 (m/ms),A0 Energy velocity absolute (m/ms),A0 Skew angle (deg),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity 1 (m/ms),A1 Energy velocity 2 (m/ms),A1 Energy velocity absolute (m/ms),A1 Skew angle (deg),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity 1 (m/ms),A2 Energy velocity 2 (m/ms),A2 Energy velocity absolute (m/ms),A2 Skew angle (deg),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m)
85,0.812770785483722,1.25042468246399,-0.439311412778427,1.32535142657053,19.3578933852738,79.9728295533546,24.9617546091482,9.56200924098497,0.65709885326699,0,589.941837671194,19.0604812727561,1.77797337720717,-1.62884313183545,2.41128996144905,42.4935303064837,56.2438117926601,1.03111316709909,32.3090854990006,0.19447115912253,0,722.5,9.50659685923325,2.6341277212588,-1.51094650176834,3.03670679900284,29.838759776809,37.9632313167457,2.06769246978235,13.1579195283505,0.477521183621895,0
93.5,0.839913894461546,1.27154942800804,-0.424514270745456,1.34054105268512,18.461891053454,78.6442098099609,24.1028078520736,8.98303630440156,0.699450062792345,0,590.262844689716,18.9604812727561,1.78708432494982,-1.63725206056721,2.42368824198017,42.4946140897965,55.9570685075578,1.03655198146168,32.12209855886,0.195603201193919,0,731,9.25577046627379,3.04962152703487,-2.12122395280882,3.71480585174035,34.8212998667411,32.790954258914,2.12375115840242,12.6617927035209,0.496231888667108,0
102,0.864721079143792,1.28976779905579,-0.409258479381477,1.35314207621627,17.6048446378405,77.5333359021735,23.3695252967973,8.47765763866463,0.741146384412062,0,590.587829354744,18.8604812727561,1.79627609620163,-1.64574237239647,2.43620109393427,42.4958140051538,55.6707291331538,1.04204847949902,31.9350998027888,0.196748572761025,0,739.5,9.05728493145776,3.30296137698991,-2.50137483470537,4.14323906160197,37.1371119500068,30.2758611398396,2.17031405739823,12.2478498058928,0.513003131713498,0
110.5,0.887508440561505,1.3056586277014,-0.393883680392831,1.36377740330704,16.787214218429,76.5896980101525,22.735352914589,8.03175059331679,0.782293378532921,0,590.920909685654,18.7604812727561,1.80556589327639,-1.65432397007787,2.44884789093508,42.4970270365252,55.3842982814321,1.04760358383831,31.7478717798901,0.197908866167197,0,748,8.88845719581033,3.46882346528916,-2.74887953162865,4.42595468941421,38.3951701761821,28.828218270734,2.21155738873752,11.8829641655218,0.528755722870066,0
119,0.908529447670106,1.31964402280789,-0.37865818254178,1.37289561370792,16.0102838789137,75.7780115483142,22.1809648305813,7.63470124092526,0.822977233673405,0,591.262170770868,18.6604812727561,1.81492602041564,-1.66299023905997,2.46160374447036,42.4985747686215,55.0986645599467,1.05321823688936,31.5604180264522,0.199084349957386,0,756.5,8.73944530549089,3.58727677213547,-2.92167324061741,4.6265245233158,39.1612441415407,27.8762990290462,2.24928476290473,11.5524723139338,0.543882308170629,0
127.5,0.928008264193713,1.3320518275668,-0.363766484305487,1.38082878244481,15.2743187872549,75.0721540487397,21.6914916043599,7.27849618975461,0.863253224755953,0,591.604783412282,18.5604812727561,1.82443297488881,-1.67175525061556,2.47453456185649,42.4994953940342,54.8115504249175,1.05889340137777,31.3731088611256,0.200272957805756,0,765,8.60513651013499,3.67827851506444,-3.05025099382074,4.77846878818822,39.6675757606722,27.1866308085287,2.28441002477292,11.2485444576928,0.558577630271316,0
136,0.946122232000944,1.34314596873909,-0.349334108467277,1.38783119026728,14.5788573477709,74.452071723729,21.2558034353283,6.956781117654,0.903174212457964,0,591.95511977443,18.4604812727561,1.83399595220316,-1.68059912961305,2.48755996654427,42.5008739707398,54.5257473877579,1.0646300608953,31.1856096114021,0.201477071812068,0,773.5,8.48251468849298,3.75214130607649,-3.15098852954737,4.89972377732709,40.0230051092137,26.6514482911538,2.31745096760686,10.9664055442702,0.572948472661808,0
144.5,0.963011207356368,1.35313109341211,-0.335444732705117,1.3940899987656,13.9230852120051,73.9026695098963,20.8654417031838,6.66443742115134,0.942793053654949,0,592.310006192976,18.3604812727561,1.84366690647088,-1.68953696652837,2.50072845852599,42.502153854313,54.239732594332,1.07042922046834,30.9980940399211,0.202695859270823,0,782,8.36955837731219,3.81452747130277,-3.23313840527729,5.00038036323263,40.2841289598799,26.2155668696357,2.34874490831711,10.7027600732892,0.587062146974635,0
153,0.978824005327084,1.36215177636416,-0.32217969225828,1.39973469484602,13.3071965506228,73.4132581516863,20.5130370888125,6.39754251847767,0.982124821997229,0,592.674630243472,18.2604812727561,1.85344014377577,-1.69857354988917,2.5140390750628,42.5035045077902,53.9537250964487,1.07629190714503,30.8102968153955,0.203931346225784,0,790.5,8.26483860256495,3.86873244695742,-3.30220527356592,5.08641823043561,40.4828312933911,25.8482594418348,2.3785217195876,10.4552037983111,0.600962489912873,0
161.5,0.993652363971009,1.37038936597564,-0.309505360667902,1.40490589815165,12.7268460043022,72.9719614606068,20.1934645703791,6.15264621653876,1.02121673927715,0,593.045024742532,18.1604812727561,1.8633117844836,-1.70770291581571,2.52748492673665,42.5048843385687,53.6678836213737,1.08221917060176,30.6224325558425,0.205182435971462,0,799,8.1672692292321,3.91678633077717,-3.36163289955098,5.16156864841556,40.6382726950334,25.5311348526275,2.40695309284129,10.2218638663731,0.61468098081891,0
