A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m)
0.001,0.00429364976882935,0.356617488648929,280.412495693515,90,4293.64976882935,0.00146336698274594,0,613.379720052083,20.0635996370478,3.22260017288769,31.0308429948331,0.979555519843796,32.7099168445676,0.192088085611355,0
8.5,0.386390765285492,0.737463399823658,135.599949806203,62.5859333394664,45.4577370924108,0.138220371471781,0,613.972330729166,19.9635996370478,3.23821611105512,30.8812001949483,0.984462709454697,32.515471199392,0.193236790838728,0
17,0.533571747186744,0.97471408250559,102.594188177666,40.0037417032155,31.3865733639261,0.200187042858304,0,614.57177734375,19.8635996370478,3.25397086619312,30.731682646253,0.989419315262723,32.3210410391778,0.194399224318408,0
25.5,0.6382677399429,1.11923376635929,89.346839780653,32.5062792599126,25.0301074487412,0.251025103270006,0,615.184895833333,19.7635996370478,3.26988572305004,30.5821085107291,0.994426087526685,32.1262758089597,0.195577767698405,0
34,0.720059492098546,1.21549949554646,82.270704649731,28.4472541555688,21.1782203558396,0.296681458668792,0,615.804850260416,19.6635996370478,3.28593635841954,30.4327257415594,0.999483791771106,31.931543944047,0.196770482447998,0
42.5,0.7868098530215,1.28210413258134,77.9967847062968,25.8449699202244,18.5131730122706,0.339389973993927,0,616.4384765625,19.5635996370478,3.30215033961778,30.2832971595033,1.0045932091765,31.7364998793424,0.197979781357974,0
51,0.842694030083576,1.32908333809869,75.2398266786295,24.0182697440289,16.5234123545799,0.380259547625344,0,617.085774739583,19.4635996370478,3.31852762224928,30.1338459048958,1.00975513698168,31.5411575404758,0.199205920046421,0
59.5,0.890288868687088,1.36255711133499,73.3914190958377,22.6603921565883,14.9628381291948,0.419919353061779,0,617.739908854167,19.3635996370478,3.33504390726827,29.984612730904,1.01497038889853,31.345877705983,0.200446941256978,0
68,0.931339562230538,1.38653119105431,72.1224308873722,21.6099941010238,13.696170032802,0.458754914120626,0,618.41455078125,19.2635996370478,3.35176008997491,29.8350709226174,1.02023979553972,31.1499779762812,0.20170753610047,0
76.5,0.967084157980309,1.4037468936042,71.237913654964,20.7734908465213,12.6416229801348,0.497023627191942,0,619.096028645833,19.1635996370478,3.36860327906819,29.6858940384519,1.02556420485982,30.9541634097781,0.20298352838684,0
85,0.998464854337472,1.41612678559159,70.6151461983858,20.0919265212853,11.7466453451467,0.53489188807216,0,619.791178385417,19.0635996370478,3.38562135238016,29.5366757211931,1.03094448261024,30.758100957018,0.204277413484007,0
93.5,1.0261939822373,1.42504832926146,70.1730586581761,19.5266210342716,10.9753367084204,0.57248223668246,0,620.5,18.9635996370478,3.40280893632185,29.3874860068081,1.03638151280867,30.5618044110359,0.205589474452324,0
102,1.05085723396584,1.43150503204394,69.8565480117224,19.0504266248169,10.3025219016258,0.60986866780531,0,629,17.8955054569277,3.59750052758797,27.7970772299087,1.09824536092455,28.4507240968643,0.220844477834295,0
110.5,1.07290648809753,1.43622202597658,69.627117667969,18.6443207392677,9.7095609782582,0.647113223888185,0,637.5,17.0207324037844,3.77365036419583,26.4995403254085,1.15469665403161,26.6991880843677,0.235332448587018,0
119,1.09272645820401,1.43972739850613,69.4575932247733,18.2940430959581,9.1825752790253,0.684250890001582,0,646,16.2886581515332,3.93419681927975,25.4181487590922,1.20660062170949,25.2146411014446,0.24918797304712,0
127.5,1.1106272155069,1.44240693596596,69.3285629086573,17.9890060453414,8.71080169025023,0.721309648710312,0,654.5,15.6653697981403,4.08137703000612,24.5015344734887,1.25461596044344,23.9348660017422,0.262511822991708,0
136,1.12686561915768,1.44454096807994,69.2261432591408,17.7211149447445,8.28577661145351,0.758309764047257,0,663,15.1271854596139,4.21694461175985,23.7138519014759,1.29925932337607,22.8162676615594,0.27538181969023,0
144.5,1.14166789934104,1.44633176370578,69.1404299548677,17.4838901931933,7.90081591239477,0.795257778038158,0,671.5,14.6569958620571,4.34230724817622,23.0292317619856,1.34094645028192,21.8272462577172,0.287859734251091,0
153,1.15521527430135,1.44792401380222,69.0643977493003,17.2723661440191,7.55042662942057,0.832162951255878,0,680,14.2421140664292,4.4586133262491,22.4284979841764,1.38001651748845,20.9442853918077,0.299995210609441,0
161.5,1.16766374415165,1.44941918832427,68.993153123365,17.0825341582353,7.23011606285851,0.869029660458239,0,688.5,13.8729089446944,4.56681330226575,21.8971071031931,1.4167508237838,20.1494683292584,0.3118288385831,0
