A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m)
0.001,0.003418199634552,0.280562550832969,356.426756540057,90,3418.199634552,0.00183815633342992,0,662.07666015625,20.0705481201139,1.67995668003411,59.525344426125,0.979216361800748,30.3145380708289,0.207266404406333,0
8.5,0.310159731960297,0.601197651945065,166.334648308203,90,36.4893802306231,0.172192162965446,0,662.375325520833,19.9705481201139,1.68810168807849,59.2381375519069,0.984120145228746,30.1498974232031,0.20839823164188,0
17,0.431736704421555,0.812177844744441,123.125742283041,52.6048180844295,25.3962767306797,0.247405766357446,0,662.687662760417,19.8705481201139,1.69634026503768,58.9504370444092,0.98907329327971,29.9847865544129,0.209545774013685,0
25.5,0.52051575566923,0.951577993255563,105.088600943657,41.2207418509918,20.4123825752639,0.307812441003024,0,663,19.7705481201139,1.7046487109291,58.6631130266692,0.994076555165914,29.8198312520571,0.210704924990015,0
34,0.591734923975925,1.05263149905261,95.0000072105027,35.4260304268683,17.4039683522331,0.361020267333076,0,671.5,17.562716383579,1.91085894659049,52.3324864864715,1.11905820652402,26.1544547782263,0.240233847750111,0
42.5,0.651426102313091,1.12900588871249,88.5734972685036,31.7717767068172,15.3276729956021,0.409924279372503,0,680,16.0060168183784,2.08800408176545,47.8926266827255,1.22791054409462,23.538260027027,0.266934994343895,0
51,0.702745979074071,1.18807268870907,84.169934171837,29.2148130854085,13.779332923021,0.455986174532609,0,688.5,14.835919888615,2.2434615554935,44.5739753173541,1.32477147992199,21.5481770350255,0.291587789397061,0
59.5,0.747628161943877,1.23431544471462,81.0165670600682,27.3086829599116,12.5651791923341,0.500047409671079,0,697,13.9171484708176,2.38189459161103,41.9833859786228,1.41224637365312,19.9672144488057,0.314675105197531,0
68,0.787332210892195,1.27098187410845,78.6793281927379,25.8265583030633,11.5784148660617,0.54266368754817,0,705.5,13.1723839617788,2.50649223568383,39.8963932847443,1.49211213303116,18.6709907325,0.336521258951869,0
76.5,0.822782687335842,1.30006428413946,76.9192733159286,24.6376387967215,10.7553292462202,0.584192744205181,0,714,12.5538894415142,2.61954603814088,38.1745533554245,1.56564213737958,17.5824782094036,0.357354932128917,0
85,0.85465706667608,1.323217903649,75.573342625,23.6613846554683,10.0547890197186,0.624894793402183,0,722.5,12.0303459954854,2.72278153357825,36.7271478694734,1.63379473068912,16.6509979176268,0.377345870695724,0
93.5,0.883464431915374,1.34165997403623,74.5345332909958,22.845296540594,9.44881745364036,0.664970546632675,0,731,11.5802955569176,2.81753060202691,35.4920723587034,1.69730789105711,15.8417175881225,0.396622731861503,0
102,0.909631766703813,1.35632393648127,73.7286995460919,22.1526596079431,8.9179584970962,0.704554221599649,0,739.5,11.1884601280848,2.90485188100195,34.4251631740713,1.75676829214363,15.1297635268219,0.415286418458611,0
110.5,0.93349684239206,1.36794770058823,73.102209943406,21.5575525924636,8.44793522526751,0.74375396349948,0,748,10.8436244448202,2.98560453574636,33.4940541530901,1.8126532473975,14.4968241240912,0.433418054423247,0
119,0.955335047180638,1.37711558851659,72.6155457347767,21.0410262354208,8.02802560655999,0.782656360991845,0,756.5,10.537378320035,3.06049407206135,32.6744628956744,1.86535245335108,13.9291187310443,0.451082758967085,0
127.5,0.975371839995842,1.38429484694148,72.2389454970119,20.5889281457245,7.64997521565366,0.821334073648069,0,765,10.2632327978763,3.13011284615113,31.9477299749633,1.91519699018201,13.4159905854593,0.468335548326154,0
136,0.993810850229682,1.38986923643401,71.9492146301261,20.1901039751524,7.30743272227707,0.859834848431103,0,773.5,10.0161364902762,3.19496012225691,31.2992951941323,1.96246282184662,12.9491098775388,0.485221406459625,0
144.5,1.01082450606526,1.39414498861551,71.7285510593181,19.8358737446799,6.99532530148967,0.898197730110073,0,782,9.79204976354442,3.25546332903072,30.7175937471776,2.00739109399706,12.5218027666808,0.501779609873625,0
153,1.02655414179337,1.39737497652614,71.5627527899485,19.5194922454793,6.70950419472791,0.936460448466027,0,790.5,9.5877426242145,3.3119914324208,30.1933148199323,2.05018507035241,12.1287066719981,0.51804248194787,0
161.5,1.04113266465295,1.39976326801176,71.4406516339302,19.235328739111,6.44664188639598,0.974644693765086,0,799,9.40055482305153,3.36486618679513,29.7188638265717,2.09102717474408,11.7654002791634,0.534039230123532,0
170,1.05467100848282,1.40147991951954,71.3531450627435,18.9788980971529,6.20394710872245,1.01277222340367,0,807.5,9.22830633469546,3.41436819412859,29.2879954106771,2.13007451022788,11.4282431389418,0.549794507413797,0
178.5,1.06725991645694,1.40266386929951,71.2929178463405,18.7466292051819,5.97904715101926,1.05086732860243,0,816,9.06918053249721,3.46074464721952,28.8955153279926,2.16746600287098,11.1141918290407,0.565329931661069,0
187,1.07899670657563,1.40342994752693,71.2540017948284,18.535242175252,5.77003586404082,1.08893349282918,0,824.5,8.92163913874615,3.5042171078817,28.5370446297632,2.20332795548868,10.820666026375,0.580665302104747,0
195.5,1.08996054768688,1.40386891673426,71.2317217141783,18.3421178554299,5.57524576821933,1.1269790729219,0,833,8.78439046130406,3.54497981356071,28.2089053419902,2.23777047265764,10.5454867482642,0.595817476913887,0
204,1.10021572743723,1.40406096422232,71.221978637792,18.165149905418,5.39321435018252,1.16501679688792,0,841.5,8.65633765532603,3.58320810356017,27.9079520669321,2.27089092680552,10.2867945993179,0.61080108546118,0
212.5,1.10982056955572,1.4040723832503,71.221399404288,18.0025286976555,5.22268503320337,1.20305652499319,0,850,8.53650590905587,3.61905918848139,27.6314906145432,2.3027857594565,10.042948128301,0.625631560266011,0
221,1.11883976486778,1.40393705018066,71.2282648193749,17.8524982032803,5.06262337044245,1.24109277886703,0,858.5,8.42409240901631,3.65268024294669,27.3771568680559,2.33353168144527,9.81257123938999,0.640319968527453,0
229.5,1.12731452755267,1.40372070373281,71.2392427739205,17.7138243841518,4.91204587168919,1.27913815776702,0,867,8.31838111450568,3.68419357305395,27.1429820439936,2.36320329081198,9.594441885243,0.65487762418402,0
238,1.1352984119546,1.40344388954344,71.2532939471711,17.5851727329653,4.77016139476723,1.31718505668846,0,875.5,8.21873206597535,3.71372112586437,26.9271699761045,2.39187280220299,9.38747237689931,0.669315983569896,0
246.5,1.14281741441565,1.40313938993597,71.2687568442955,17.4657377478639,4.63617612339006,1.35525164272344,0,884,8.12461440670743,3.74136711544536,26.7281977187359,2.41959727105219,9.19074027908081,0.683643005502054,0
255,1.14992613927659,1.40282600685814,71.2846778653372,17.3543268173604,4.5095142716729,1.39331753458421,0,892.5,8.03553481401851,3.76723107377119,26.5446950404067,2.44643644295875,9.00340035184147,0.697868034480382,0
263.5,1.15665565115361,1.40252578867055,71.2999367339903,17.2501821374722,4.38958501386571,1.43138480911804,0,901,7.95106090546904,3.79140081434076,26.375475687444,2.47244400918644,8.82470688731303,0.711999320477454,0
272,1.16301796432348,1.40228187801417,71.3123385304058,17.1528816549847,4.27580133942457,1.46947549907105,0,909.5,7.87081979443582,3.81396038269849,26.219464799277,2.49766587772657,8.65400747051767,0.726043434626679,0
280.5,1.16906418112371,1.40200277766456,71.326534863632,17.0614432608604,4.16778674197399,1.50755921455897,0,918,7.79446557765137,3.83498476672749,26.0757228731662,2.52214863370942,8.49070324362895,0.740007644466224,0
289,1.17480262541347,1.40180240194246,71.336730384704,16.9755707231739,4.06506098758986,1.54565585273171,0,926.5,7.72169582875994,3.85454246360097,25.9434163572759,2.54593310434039,8.33426425122497,0.753898018803049,0
297.5,1.18026297370921,1.40165790573786,71.3440844521604,16.8946709915834,3.96727049986288,1.58375520585167,0,935,7.65222870424802,3.87270225157811,25.8217630749305,2.56906058053176,8.18420182272515,0.76772120767269,0
306,1.18545870307509,1.40155300333192,71.349424361597,16.8184155536772,3.87404804926499,1.62186561118458,0,943.5,7.58583087786694,3.88952046557828,25.7101102526613,2.59156252637897,8.04009631994376,0.78148134762937,0
314.5,1.19042166478017,1.401508941451,71.3516675080707,16.7462262066425,3.7851245303026,1.65996792361209,0,952,7.52226756531386,3.90505341760518,25.6078443252964,2.61347641841591,7.90154156020363,0.795184744559853,0
323,1.19515622846732,1.40152408212111,71.3508966957291,16.6779430328,3.70017408194218,1.69807829794905,0,960.5,7.46134058693897,3.91935375229043,25.514410364607,2.63483224630391,7.76818384897342,0.808835814050658,0
331.5,1.19969024361939,1.40159765443079,71.3471513625009,16.6130800064845,3.61897509387449,1.73617810131232,0,969,7.40286298134873,3.93246852327807,25.4293198808979,2.65566049604692,7.63969347920406,0.822439450520232,0
340,1.20402667046467,1.40172457924875,71.3406909462876,16.5515209616395,3.54125491313137,1.77428212916298,0,977.5,7.34666867211184,3.94444255867134,25.3521247964844,2.67598823976444,7.51577357760802,0.835999813232703,0
348.5,1.20818470670363,1.40191151404747,71.3311781792058,16.4929275790202,3.46681407949392,1.8123802324285,0,986,7.29260626069057,3.95532009704845,25.2824038374599,2.6958407905223,7.39615239420951,0.8495208011261,0
357,1.2121716909147,1.40214686223144,71.3192053511822,16.4371385981558,3.39543891012521,1.85047808942847,0,994.5,7.24053905047708,3.96514306011221,25.2197710105244,2.71524123896059,7.28058225286785,0.863005881803562,0
365.5,1.21601169401838,1.40245111459438,71.3037331279258,16.3837671470665,3.32698137898325,1.88855439554632,0,1003,7.1903247888691,3.97393508847114,25.1639741902458,2.73421772067747,7.1688183338675,0.876460389224269,0
374,1.21970075950006,1.40280053013051,71.2859724901133,16.3328236913839,3.2612319772729,1.92662936919737,0,1011.5,7.14186193875284,3.9817425916319,25.1146320232156,2.75278566443034,7.06066429931076,0.889885857877838,0
382.5,1.22324482021062,1.40320093953583,71.2656307321738,16.2841844320437,3.19802567375325,1.96470758779293,0,1020,7.0950230304525,3.98859630770925,25.0714768518232,2.77097274624546,6.95590493181618,0.903287978885453,0
391,1.22667553327637,1.40364262721442,71.2432054008316,16.2373798775161,3.13727757871196,2.00275084035096,0,1028.5,7.0497292217138,3.99453025986958,25.0342326867903,2.78878999800276,6.85437940856957,0.916667276883469,0
399.5,1.22997139653657,1.40412580400429,71.2186897461891,16.1926713604037,3.0787769625446,2.04080561327396,0,1037,7.00586997255095,3.99956038914056,25.0027478698699,2.80626275025418,6.75590161287459,0.930029131153397,0
408,1.23316185010753,1.40466535484672,71.1913336902314,16.1496299439802,3.02245551496945,2.07883466805734,0,1045.5,6.96336924334067,4.00372483460255,24.9767414423042,2.82340453153535,6.6603244795224,0.943375255439528,0
416.5,1.23625026524642,1.40523613375968,71.1624171892391,16.1081855599618,2.96818791175611,2.11684215891243,0,1054,6.92214425953299,4.00704612084968,24.9560391829968,2.84023312571569,6.56749929746963,0.956708942412893,0
425,1.23923236531338,1.40584620656205,71.1315359626333,16.0683720356957,2.91584085956091,2.15484507207494,0,1062.5,6.88212285366275,4.0095492245811,24.9404594877988,2.8567635104024,6.47729209756494,0.970032725487503,0
433.5,1.24212637111568,1.40648652856315,71.0991523695281,16.0299249887241,2.86534341664516,2.19282103174081,0,1071,6.84322906956429,4.01125108752519,24.9298779403253,2.87301363092776,6.38956962611045,0.983350315411521,0
442,1.24492781960349,1.40716151248078,71.0650476957,15.9928848497194,2.81657877738346,2.23078628498952,0,1079.5,6.80540662395958,4.01218203010405,24.9240934857102,2.88899450267022,6.3042210504489,0.996663228795283,0
450.5,1.24764651045775,1.4078619630198,71.0296908551352,15.9571044723775,2.76947061144896,2.26873153345805,0,1088,6.76859636331865,4.0123600776948,24.922987484576,2.90471941659813,6.22113636334435,1.00997389226201,0
459,1.25029152585186,1.40858944334207,70.9930068499852,15.9224491576691,2.72394667941581,2.30664768685087,0,1096.5,6.73273779123089,4.01180305026664,24.9264479704091,2.92020333078955,6.14020774394062,1.0232854602322,0
467.5,1.25285194724776,1.40934406686333,70.9549941360751,15.8890472470589,2.67989721336419,2.3445620510542,0,1105,6.69778509432667,4.01052821399756,24.9343714005002,2.93545585787667,6.06134397676622,1.03659936332003,0
476,1.25534923325279,1.41012171557736,70.9158641380511,15.8566055296457,2.63728830515293,2.38244157641128,0,1113.5,6.66368055741703,4.00855512870615,24.946644561248,2.95049270167779,5.9844459428981,1.04991930199253,0
484.5,1.2577788437826,1.41091765239162,70.8758585807553,15.8251715824935,2.59603476528915,2.42030091090854,0,1122,6.63038223197772,4.00589948257557,24.9631825349011,2.96532352981895,5.90943157930278,1.06324698456377,0
493,1.26014261281611,1.41172917484838,70.8351160984827,15.7947104764469,2.55607020855194,2.45814269348224,0,1130.5,6.59784678114907,4.00257586599784,24.9839111981629,2.9799593668975,5.83622006293593,1.07658471397989,0
501.5,1.26244232463216,1.41255790390941,70.7935580716647,15.7651887005814,2.51733265131038,2.49596941584535,0,1139,6.56603211052215,3.99860128408929,25.008745032396,2.99441141741234,5.76473407420734,1.08993497814442,0
510,1.26469094421792,1.41339943925305,70.751407721548,15.7364307467375,2.47978616513317,2.53376093290776,0,1147.5,6.53490835721315,3.99399300455685,25.0376001875585,3.00868596731387,5.69490924375874,1.10329858444462,0
518.5,1.26687862709127,1.4142522345087,70.7087445647483,15.7085539790826,2.44335318628982,2.571541986822,0,1156,6.50442851436882,3.98876206601061,25.0704349733289,3.02279777644747,5.62666826502493,1.11667953595835,0
527,1.2690177066586,1.41511522760537,70.6656235826237,15.6813931483779,2.40800323844137,2.60929271475835,0,1164.5,6.47456643428217,3.98291814629979,25.107219462419,3.03675260333829,5.55995400110105,1.13007864920021,0
535.5,1.27110926272969,1.41598731027655,70.6221018184617,15.6549276126878,2.3736867651348,2.64701535159074,0,1173,6.44529055220068,3.97648350907401,25.1478472805956,3.05055919922536,5.49470635311226,1.14349792389192,0
544,1.27314924478632,1.41686335298421,70.5784363674728,15.6292017198002,2.34034787644545,2.68472280143351,0,1181.5,6.41656319243451,3.96946071750514,25.1923389892749,3.0642297528523,5.43086177946213,1.15694075127095,0
552.5,1.27514639518845,1.41774878964169,70.5343575184946,15.6040988238655,2.30795727635918,2.72240104768809,0,1190,6.38836212501118,3.9618668140769,25.2406263745894,3.07776962086142,5.36837153362284,1.17040805909709,0
