S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
0.001,6.56577895641327,6.5659255881872,15.2301451877418,2.99452697697029,6565778.95641327,9.56959615742523e-07,0,1065.63751424154,20,-0.181963180888068,-549.561727333804,0.982670793596028,18.7681080411616,0.33477989861309,0,1305.22239583333,20.0519494241061,2.46759389649458,40.5253069162062,0.980124698586657,15.362860373924,0.408985381253889,0
8.5,6.56589824914932,6.5658433885813,15.2303358581337,2.99447252121866,772.458617546979,0.00813400894812007,0,1061.49228678386,14.4667575069261,-0.180467181946187,-554.117368718145,1.35858322595615,13.6286977183395,0.461026096332344,0,1306.14244791667,19.9519494241061,2.47811051225531,40.3533254491506,0.985037607162288,15.275477384515,0.41132497198084,0
17,6.56581595420837,6.56559650266086,15.2309085639778,2.99451008769358,386.22446789461,0.0162682217971081,0,1061.39712011719,14.3667575069261,-0.178955855511588,-558.797026865236,1.36804145317626,13.535704247379,0.46419345401967,0,1307.0796875,19.8519494241061,2.48871802405607,40.1813299190166,0.990000018568485,15.1880176962096,0.413693572976785,0
25.5,6.56567878484726,6.56518497495711,15.2318632881556,2.99457270565994,257.477599405775,0.0244028425062233,0,1061.30895345053,14.2667575069261,-0.177416197655688,-563.64639374174,1.37763230959849,13.4426054359968,0.46740829648651,0,1308.03411458333,19.7519494241061,2.49944037229568,40.0089560480901,0.99501268482284,15.1004849215251,0.416091624860547,0
34,6.56548671722412,6.56460872868831,15.2332003525184,2.99466038914698,193.102550506592,0.0325380751869722,0,1061.21378678386,14.1667575069261,-0.175840498298605,-568.697205521928,1.38735860491018,13.3495792114238,0.47066542006079,0,1309,19.6519494241061,2.51021656238802,39.8372003030957,1.00007637325352,15.0129483759405,0.418517745471564,0
42.5,6.56524213111028,6.56386766199009,15.2349201948537,2.99477205602412,154.476285437889,0.0406741092289269,0,1061.12562011719,14.0667575069261,-0.174234049920602,-573.940627825443,1.39722322873355,13.256448850394,0.473971979833261,0,1317.5,18.8390877847951,2.60181443267784,38.4347164594201,1.0432319505011,14.2991178632221,0.439410694231719,0
51,6.5649392647115,6.56296162815896,15.2370234149993,2.99491034257091,128.724299308069,0.0488111828221523,0,1061.02957845053,13.9667575069261,-0.172588738068411,-579.412081687288,1.407229153489,13.1634007105839,0.47732234589863,0,1326,18.1276720727677,2.68804438185207,37.2017667100792,1.08417810827915,13.6709442479395,0.459601414008152,0
59.5,6.56457842779108,6.56189042216361,15.2395108065562,2.99507511470724,110.329049206573,0.0569495101459215,0,1060.94228678386,13.8667575069261,-0.170922104150011,-585.061835608075,1.41737943738241,13.0702279281956,0.480724998959294,0,1334.5,17.4987601807367,2.76954268214469,36.1070441862848,1.12314877436759,13.1125966135157,0.479171707356821,0
68,6.56416543865951,6.56064767143783,15.2423975509851,2.99526372382867,96.5318446861692,0.0650892493312087,0,1060.84624511719,13.7667575069261,-0.169199390607859,-591.018677081188,1.42767722752271,12.9771468488398,0.484173091386517,0,1343,16.9379847455134,2.84682566414652,35.1268436488471,1.16033849858676,12.6120511880219,0.498189010931619,0
76.5,6.56370243912528,6.55925188688051,15.2456410768452,2.99547520059434,85.8000318839906,0.0732305707726894,0,1060.75020345052,13.6667575069261,-0.167443041372619,-597.218010257381,1.43812576317641,12.8840489141264,0.487671643367522,0,1351.5,16.4342461766745,2.92031667669511,34.2428616725119,1.1959100047605,12.1600045702364,0.516709123823745,0
85,6.56318066035331,6.55768395157354,15.2492862935251,2.99571356080485,77.2138901218037,0.081373769632225,0,1060.65580240886,13.5667575069261,-0.165655654331727,-603.661857504416,1.44872837916621,12.7909143344284,0.491222530532283,0,1360,15.9787931473516,2.9903696806496,33.4406814806512,1.23000290264713,11.7491126083468,0.534779563072356,0
93.5,6.56259875473067,6.55594989696792,15.2533197433753,2.99597943307278,70.1882219757291,0.0895190835486943,0,1060.56140136719,13.4667575069261,-0.163825157638101,-610.406859616186,1.45948850942109,12.6977631748297,0.494826153289305,0,1368.5,15.5646355683544,3.05728428983977,32.7087671670995,1.26273713822477,11.3735005979937,0.552440759381322,0
102,6.56197025119683,6.55404962226549,15.2577422759021,2.99626664893551,64.3330416784003,0.0976665356285983,0,1060.46700032552,13.3667575069261,-0.161962590111244,-617.426529986432,1.47040969068593,12.6045954309026,0.498483695222389,0,1377,15.1860995927174,3.12131589597674,32.0377697524612,1.29421801682749,11.0283947659531,0.569728001266065,0
110.5,6.56127668772688,6.55198215362691,15.2625568347503,2.99658366007867,59.3780695721889,0.105816597818843,0,1060.37259928386,13.2667575069261,-0.160056695421643,-624.778611957259,1.48149556639897,12.5114110982178,0.502196375601037,0,1385.5,14.8385551268615,3.18268244301123,31.420036962716,1.32453616654194,10.7098918273992,0.586671220255025,0
119,6.56053571269159,6.54974772631547,15.2677636114475,2.9969224160637,55.1305522074924,0.113969206829851,0,1060.27819824219,13.1667575069261,-0.158111559853938,-632.464824788137,1.49274989074615,12.4182101723444,0.505965450735596,0,1394,14.5181488586641,3.24157488617132,30.8492024745761,1.35377321554261,10.4147409316099,0.603297321406186,0
127.5,6.55973540176481,6.54734549957578,15.2733653671521,2.99728838507912,51.4489051118809,0.122124762296033,0,1060.18379720052,13.0667575069261,-0.156125076500343,-640.512096080735,1.50417653290172,12.3249926488498,0.509792215394623,0,1402.5,14.2216674502972,3.29815981565212,30.3199376590027,1.38200096393634,10.140226346023,0.619629689986541,0
136,6.55888038208327,6.54477517181243,15.2793636717558,2.99767947032016,48.2270616329652,0.13028339472552,0,1060.08392740886,12.9667575069261,-0.154087057784314,-648.983772147668,1.51577948146531,12.2318216243694,0.513675354344737,0,1411,13.9463871188254,3.35258758729982,29.8277069266788,1.40928499647085,9.88404473339856,0.635689687436204,0
144.5,6.55796941873116,6.54203675030685,15.2857594380389,2.99809625650548,45.3838714099042,0.138445335578145,0,1059.98952636719,12.8667575069261,-0.152010211765568,-657.850540687498,1.52756284910595,12.1385704168448,0.517621523079879,0,1419.5,13.6900094153401,3.40498448727256,29.3687094240189,1.43568265493958,9.6442475627616,0.651495647150353,0
153,6.55700418900749,6.53912994783621,15.2925543302729,2.99853799730906,42.8562365294607,0.146610757639914,0,1059.89512532552,12.7667575069261,-0.149892683668456,-667.143969622878,1.53953087742464,12.0453025982218,0.521629511250897,0,1428,13.4505500838478,3.45547160565505,28.9396098166007,1.46124752109059,9.41915271978139,0.667064808704515,0
161.5,6.55597580460463,6.53605086131779,15.2997585425518,2.99900878439035,40.5942774278925,0.154780075057141,0,1059.79525553386,12.6667575069261,-0.14771852800565,-676.963149782911,1.55168794204737,11.9520798388038,0.525698070287357,0,1436.5,13.2263123028884,3.50415074786075,28.5375850513992,1.4860268981654,9.20731799713774,0.682412110576916,0
170,6.55489821040125,6.53280305113083,15.3073648810965,2.99950225808045,38.5582247670662,0.162953179124218,0,1059.70085449219,12.5667575069261,-0.145504413433019,-687.264376664656,1.56403855796156,11.8587783086654,0.529834114749272,0,1445,13.0158188456608,3.5511167376188,28.1601556323533,1.51006463343703,9.00748709042271,0.697551408523276,0
178.5,6.55376273760296,6.52938508876134,15.3153778863685,3.00002241253194,36.71575763363,0.171130482172713,0,1059.60645345052,12.4667575069261,-0.143241494030417,-698.121732650774,1.57658738510955,11.7654601539365,0.534036512382164,0,1453.5,12.8177825472735,3.59645521993445,27.8051564345135,1.53340084496985,8.8185638440134,0.712495301765606,0
187,6.55256627749617,6.52579513771957,15.3238031365699,3.00057070029019,35.0404613769849,0.179312288145455,0,1059.50658365886,12.3667575069261,-0.140921139775366,-709.616741387445,1.58933923425364,11.6721856170249,0.538304094309038,0,1462,12.6310828492292,3.64024253613356,27.4706970778419,1.55607153541254,8.63959155214034,0.727254901954597,0
195.5,6.55131957541224,6.52203310602794,15.3326421952038,3.0011422252009,33.5105860634897,0.187498520475749,0,1059.41218261719,12.2667575069261,-0.13854869113496,-721.767915530795,1.60229907312839,11.5788337232654,0.542644057022319,0,1470.5,12.4547197226004,3.68255122081974,27.1550873303915,1.57811157977019,8.46971759442395,0.74184118149537,0
204,6.55001321668562,6.51809816345332,15.3418984329962,3.00174133222099,32.1079079249295,0.195689651342906,0,1059.31231282552,12.1667575069261,-0.136130596851666,-734.588713432031,1.61547203289643,11.485524485667,0.547052536871126,0,1479,12.2878223444383,3.72344489648052,26.8568497131573,1.59955156038156,8.30819631131732,0.756263462217511,0
212.5,6.54864434665274,6.51398854667926,15.3515774987014,3.00236936425726,30.8171498666011,0.203885996413612,0,1059.21791178386,12.0667575069261,-0.13365428672183,-748.198972533719,1.62886341492575,11.3921388344011,0.551536932485943,0,1487.5,12.1296094660552,3.76298360703516,26.5746573578059,1.62042088158798,8.15435930491105,0.770530837829953,0
221,6.54722601549563,6.50970784007028,15.3616725138498,3.00302036625659,29.6254570836906,0.212087370987386,0,1059.12351074219,11.9667575069261,-0.131116714625134,-762.679268512048,1.64247869790696,11.2987365359686,0.556096275647951,0,1496,11.9793843956067,3.80122305700242,26.3073222750728,1.64074696704907,8.00760989011144,0.784651774175296,0
229.5,6.54573981497651,6.50524665256597,15.3722072875677,3.00370282282636,28.5217421131874,0.220294583768586,0,1059.02364095052,11.8667575069261,-0.128519282921991,-778.093354759053,1.65632354533081,11.2053754496691,0.560729565501989,0,1504.5,11.8365353728257,3.83821203100055,26.0537977559129,1.66055380639109,7.86742131793002,0.798633383578946,0
238,6.5441999138527,6.50061164890317,15.3831678311183,3.00441026589881,27.4966382934987,0.228507399345075,0,1058.92923990886,11.7667575069261,-0.125870233107002,-794.4690140916,1.67040381334742,11.1119393661647,0.565444527740274,0,1513,11.7004984089069,3.87399870142808,25.813121714041,1.67986589620361,7.73331025043418,0.81248328383396,0
246.5,6.54260437177031,6.49579930040272,15.3945642984691,3.00514362264455,26.5420055649911,0.236726094107489,0,1058.83483886719,11.6667575069261,-0.123150687629942,-812.013330372074,1.68472555903003,11.0184866219627,0.570240317273298,0,1521.5,11.570779530971,3.90862519800234,25.5844433615966,1.69870419785272,7.60485016823594,0.826207639622315,0
255,6.54095117826503,6.49080944035224,15.4063989890563,3.00590385555424,25.6507889343727,0.244950957385953,0,1058.74043782552,11.5667575069261,-0.120367887155549,-830.786369713142,1.6992950490678,10.9250172126063,0.575119030469763,0,1530,11.4469257211136,3.9421330812378,25.3669772022513,1.71708936634854,7.48165079811344,0.839812693311474,0
263.5,6.53923825022879,6.48564016026738,15.4186784232379,3.00669196385191,24.8168434543787,0.253182292048144,0,1058.64603678386,11.4667575069261,-0.117516202923596,-850.946486630575,1.71411876891408,10.8315311336374,0.580082836826932,0,1538.5,11.3285202430036,3.97456052915969,25.1600143629319,1.73504181120922,7.3633540741005,0.853304790717555,0
272,6.53746593845692,6.48029076370628,15.431406343688,3.00750782958375,24.0348012443269,0.261420314788858,0,1058.55163574219,11.3667575069261,-0.114588237222636,-872.689923710997,1.72920343241789,10.7380283805962,0.585133982187403,0,1547,11.2151951208344,4.00594233775895,24.9629154811907,1.75257916674492,7.24964131922072,0.866689127160153,0
280.5,6.53563218423593,6.47475999047164,15.4445879302339,3.00835244613014,23.2999364856896,0.26966534054883,0,1058.46270345052,11.2667575069261,-0.111595933285505,-896.090001274164,1.74455599196901,10.64445395213,0.590277841910555,0,1555.5,11.1066165068636,4.03631053702237,24.7751006972251,1.76971785713598,7.14022276236809,0.879970487796902,0
289,6.53374022980773,6.46904669884992,15.4582281834166,3.00922436694864,22.6080976809956,0.277917469918809,0,1058.36830240886,11.1667575069261,-0.108517510762522,-921.5102640793,1.76018364918866,10.5509183159685,0.595510752620475,0,1564,11.0024693749264,4.0656975615486,24.596025278848,1.78647505079552,7.03482696606545,0.893154207983846,0
297.5,6.53178822799778,6.46315004581294,15.4723314933379,3.010124491178,21.9555906823455,0.286177010588556,0,1058.27937011719,11.0667575069261,-0.105361708744367,-949.111410508955,1.77609386620047,10.4573119531761,0.600841338129085,0,1572.5,10.902480573052,4.09413004981217,24.4252133623816,1.80286455106269,6.93321499081207,0.906244118422131,0
306,6.52977999176068,6.45706903023229,15.486902731223,3.01105110913964,21.3391502998715,0.29444402513147,0,1058.19043782552,10.9667575069261,-0.102123933201055,-979.202395222347,1.79229437751879,10.3636898566781,0.60626913715783,0,1581,10.8063849126033,4.1216369677381,24.2622047460135,1.81890186855377,6.83515807248785,0.91924506215445,0
314.5,6.52770213405247,6.45080070429949,15.5019515536032,3.01201045203042,20.7558096472257,0.302719354916585,0,1058.10150553386,10.8667575069261,-0.0987933905017075,-1012.21346379717,1.80879320259412,10.2700520225074,0.611796833493113,0,1589.5,10.713945142397,4.14824321065818,24.1065904099035,1.83460067123243,6.74044991657566,0.932161114605777,0
