A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity 1 (m/ms),A0 Energy velocity 2 (m/ms),A0 Energy velocity absolute (m/ms),A0 Skew angle (deg),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity 1 (m/ms),A1 Energy velocity 2 (m/ms),A1 Energy velocity absolute (m/ms),A1 Skew angle (deg),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity 1 (m/ms),A2 Energy velocity 2 (m/ms),A2 Energy velocity absolute (m/ms),A2 Skew angle (deg),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m)
0.001,0.00330844888687134,0.271327422275182,0.0783758915023458,0.282420520584611,-16.1119396833729,368.558397678577,90,3308.44888687134,0.0018991332561046,0,610.320430178982,20.0900043210324,1.3934516553393,1.25629609054107,1.87616294145168,-42.0369149434459,71.7642407017345,0.978267945741421,32.9171420906568,0.190878822039748,0,648.807042827212,20.0603199103011,0.93952614284622,-0.76410470179647,1.21101831877101,39.1210207379753,106.4366337876,0.979715686160987,30.9187764406613,0.203215845854643,0
8.5,0.300538737392426,0.583643070985422,0.156729953840331,0.604320703550761,-15.0314360231517,171.337594792585,90,35.3574985167559,0.17770446357233,0,610.552425439528,19.9900043210324,1.40017361278017,1.26238491124467,1.88523256126773,-42.0375581788125,71.4197147319758,0.983162210484124,32.740848268094,0.191906613284133,0,648.973764343013,19.9603199103011,0.944517881479675,-0.767607340326168,1.21710108756728,39.1006751095998,105.874120501923,0.984624484744247,30.7567439656176,0.204286426229104,0
17,0.418762709918195,0.790841781219979,0.20193647257192,0.816216308265143,-14.3240409674269,126.447542826754,54.9927657222986,24.6331005834232,0.255070825773668,0,610.780983564367,19.8900043210324,1.40687109645127,1.26846637389088,1.89427907757064,-42.0385256535951,71.0797174327077,0.988105695820131,32.564871625438,0.19294365350028,0,649.134137341641,19.8603199103011,0.949544800607565,-0.77113097753734,1.22322455537753,39.0802565232842,105.313619679677,0.989582723892912,30.5950939379554,0.20536577922988,0
25.5,0.50540998858194,0.929518378164077,0.225657085512791,0.956517399521254,-13.645582476622,107.582595835828,42.7387811082587,19.8199995522329,0.317012383911569,0,610.975429402133,19.7900043210324,1.41361390253825,1.27454840522446,1.9033596356731,-42.038583041696,70.7406738292843,0.993099148041047,32.3908349970763,0.193980343753,0,649.298079390643,19.7603199103011,0.954571337686341,-0.774721562884986,1.22939006776989,39.0624753024947,104.759064149545,0.994591154360399,30.4333564775764,0.2064571915296,0
34,0.575203735750452,1.03159983688311,0.238112454971734,1.05872364886685,-12.9973037008831,96.9368125358969,36.6061077782632,16.9177569338368,0.371395884912658,0,611.254868866666,19.6900043210324,1.4204964310531,1.28082630782372,1.91267512700091,-42.0401948843893,70.3979241439304,0.998143328603096,32.2124294200548,0.195054686042022,0,649.466447132915,19.6603199103011,0.959609632679353,-0.778376991356319,1.23560567650198,39.0468633430378,104.209041462816,0.999650542178452,30.2714943891129,0.207561120915105,0
42.5,0.6339635549196,1.11014349385997,0.243675334586833,1.13657214713612,-12.38003308796,90.0784453118761,32.754502748349,14.91678952752,0.421215657403205,0,611.500308333333,19.5900043210324,1.42740109454376,1.28709066430309,1.92199798721042,-42.0410493182049,70.0573933859583,1.00323901451429,32.0359680184392,0.196129091637347,0,649.63999139022,19.5603199103011,0.964755502249512,-0.782024035174316,1.24189966209474,39.0279817355015,103.65320515595,1.0047616690478,30.1094762784575,0.208678000542807,0
51,0.684736428453392,1.17214790275448,0.244750569650723,1.19742788813193,-11.7941974767851,85.3134657878971,30.0610621544888,13.4262044794783,0.467979265233397,0,611.746041666667,19.4900043210324,1.43439841559222,1.29343063235926,1.93144029557705,-42.0417205697135,69.7156375195194,1.0083869987335,31.8596329089976,0.197214617165445,0,649.810865928086,19.4603199103011,0.969938320504751,-0.78570714825957,1.24824519562855,39.0095095067242,103.099339294029,1.00992533274089,29.9476677456095,0.209805496726894,0
59.5,0.72936412326297,1.22188612409293,0.242830941285261,1.2457819096039,-11.2401970925489,81.8406871378748,28.0519963735889,12.2582205590415,0.512569118569594,0,612,19.3900043210324,1.44138131482787,1.29977150168537,1.94087249744242,-42.0426901592921,69.3778939488625,1.01358809058195,31.6830135964581,0.198314004696889,0,649.988559392294,19.3603199103011,0.975156065177153,-0.789448279367726,1.25465450911733,38.9922798737791,102.547688078865,1.01514234751704,29.7856318092768,0.210946853416172,0
68,0.769075253794516,1.26229477489781,0.238906874283406,1.28470408784054,-10.7172575116919,79.2207984922503,26.486706708921,11.3099302028605,0.555545895905744,0,620.5,16.7471991748357,1.65313766111292,1.49047943757726,2.22584659858458,-42.0380215885928,60.4910300892173,1.17355901558795,26.9898455678255,0.232798119996275,0,650.170004672922,19.2603199103011,0.980463744450938,-0.793193774857884,1.26113659793698,38.9728095639049,101.992552571131,1.02041354455063,29.6235134993506,0.21210128593684,0
76.5,0.80473867998111,1.29534126196032,0.233661051013712,1.31624711650122,-10.2253781870104,77.1997333341054,25.2282467388511,10.5194598690341,0.597291627650508,0,629,14.9995299125236,1.82491035284993,1.64010868362835,2.45362064917378,-41.9471067026162,54.7972122815962,1.31031876721444,23.8466294316751,0.263483161223352,0,650.350724534264,19.1603199103011,0.985846713027008,-0.796949981534481,1.26768411469655,38.9517755104462,101.435647833073,1.0257397723726,29.4615185122188,0.21326753081562,0
