S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity 1 (m/ms),S0 Energy velocity 2 (m/ms),S0 Energy velocity absolute (m/ms),S0 Skew angle (deg),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity 1 (m/ms),S1 Energy velocity 2 (m/ms),S1 Energy velocity absolute (m/ms),S1 Skew angle (deg),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity 1 (m/ms),S2 Energy velocity 2 (m/ms),S2 Energy velocity absolute (m/ms),S2 Skew angle (deg),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m),S3 f (kHz),S3 Phase velocity (m/ms),S3 Energy velocity 1 (m/ms),S3 Energy velocity 2 (m/ms),S3 Energy velocity absolute (m/ms),S3 Skew angle (deg),S3 Propagation time (micsec),S3 Coincidence angle (deg),S3 Wavelength (mm),S3 Wavenumber (rad/mm),S3 Attenuation (Np/m),S4 f (kHz),S4 Phase velocity (m/ms),S4 Energy velocity 1 (m/ms),S4 Energy velocity 2 (m/ms),S4 Energy velocity absolute (m/ms),S4 Skew angle (deg),S4 Propagation time (micsec),S4 Coincidence angle (deg),S4 Wavelength (mm),S4 Wavenumber (rad/mm),S4 Attenuation (Np/m)
0.001,4.55936340212822,4.55858225171863,1.1187760535872e-05,4.55858225173236,-0.000140616407802125,21.9366448773188,4.31442621673976,4559363.40212822,1.37808390185497e-06,0,0.001,5.03056325495243,5.0310577343079,0.00010074494331514,5.03105773531659,-0.00114732534653864,19.876535965405,3.90964401729968,5030563.25495243,1.24900234600847e-06,0,1064.79333546113,20.0395195388586,-0.263135882797841,-0.0237036522097019,0.264201354924378,-5.14739168216826,-380.031787898829,0.980732698549129,18.820102334863,0.333855002240896,0,1251.58413631964,20.0445140380477,1.06746979222463,-0.0110456095807414,1.0675269377412,0.592845090465024,93.6794659000123,0.980488305149503,16.0153148768646,0.392323557512824,0,1273.87890625,20.0393403455632,1.60188945278748,0.0370601770304792,1.60231809440988,-1.32531805313835,62.4262803066642,0.980741469191624,15.7309617478119,0.399415204734927,0
8.5,4.55862138152122,4.55858302915043,-4.97764775060755e-05,4.55858302942219,0.000625629074160831,21.9366411361902,4.31512981965252,536.308397826026,0.0117156198423315,0,8.5,5.0310357042551,5.03099147933048,5.59353039980409e-05,5.03099147964143,-0.000637022912462461,19.8767977268186,3.90927630367934,591.886553441777,0.0106155229758867,0,1064.72527981481,19.9395195388586,-0.262809361950778,-0.0240899957902684,0.263911137745549,-5.23728962175292,-380.503948785239,0.985651719853373,18.7273843468118,0.33550789532705,0,1251.93700729365,19.9445140380477,1.07276201916769,-0.0109229121539334,1.07281762652311,0.583368099258357,93.2173196041983,0.985404868904769,15.9309245767583,0.394401798646776,0,1274.43587239583,19.9393403455632,1.60799982713798,0.037911291124882,1.60844667616633,-1.3505938268121,62.1890614117704,0.985660578702371,15.6456207624468,0.401593864671751,0
17,4.55856384921074,4.5584104310172,-0.000199287935728899,4.55841043537351,0.00250489897534689,21.9374717378587,4.31518438285612,268.150814659455,0.0234315354035343,0,17,5.03096935999393,5.03079243177273,0.000223771072467026,5.03079243674943,-0.0025485325015692,19.8775841691331,3.90932793612854,295.93937411729,0.0212313259292404,0,1064.65847672639,19.8395195388586,-0.262473463442503,-0.0244827778896252,0.263612832435555,-5.32896787132745,-380.990895949776,0.990620336642878,18.6346325817658,0.337177847731099,0,1252.29690151759,19.8445140380477,1.07810115173468,-0.0111531778784936,1.07815884114931,0.592715464595672,92.7556749560082,0.990370990887595,15.8464929634491,0.396503208733448,0,1275,19.8393403455632,1.61417206771942,0.038778547012208,1.61463780455989,-1.37619763759345,61.9512640565541,0.990629285035811,15.5602669376966,0.403796755694326,0
25.5,4.5584679543972,4.55812273102468,-0.00044859100007783,4.55812275309888,0.00563880625111054,21.9388563891345,4.31527533183417,178.763449192047,0.035148042486188,0,25.5,5.03085875761509,5.03046055252364,0.000503723474209064,5.03046057774373,-0.0057372935770074,19.8788955714667,3.90941401551104,197.288578730004,0.0318476890432586,0,1064.58674186634,19.7395195388586,-0.262102809024227,-0.024882146206546,0.263281225495162,-5.42299504536786,-381.529676741299,0.99563930281741,18.5419550728699,0.338863150217259,0,1252.66094537221,19.7445140380477,1.08349225832318,-0.0115240787183242,1.08355354193347,0.609377844399529,92.2941527563482,0.995387424240757,15.7620576509479,0.398627225348444,0,1283.5,18.4964652007673,1.70188311719516,0.0523761217461248,1.70268887431705,-1.76274375859629,58.7584417458751,1.06255863980043,14.4109584735234,0.43600051438101,0
34,4.55833367800713,4.55771987440377,-0.000797993118285759,4.5577199442625,0.0100316909663164,21.9407955635013,4.3154026892836,134.068637588445,0.0468654371387535,0,34,5.0307038513422,5.02999564121385,0.000896079483676999,5.02999572103086,-0.0102070808092056,19.8807329335712,3.90953458201102,147.961877980653,0.0424648929368223,0,1064.51632727979,19.6395195388586,-0.261753430704451,-0.0252882870925858,0.262972158126344,-5.51828218565718,-382.038927745369,1.00070938763535,18.4492421915636,0.340566037452353,0,1253.03099605149,19.6445140380477,1.08893752035994,-0.0118848406943551,1.08900237496801,0.625310601491459,91.8326333056704,1.00045493744632,15.6775962445868,0.400774787738845,0,1292,17.3957236957128,1.78148028292357,0.066912468629429,1.78273645750108,-2.15102056236756,56.1330938986825,1.12980214856405,13.4641824270223,0.46665925251944,0
42.5,4.55816331483722,4.55720178250361,-0.00121867238147017,4.55720194545035,0.0153218544482809,21.9432899337327,4.31556428487763,107.250901525582,0.0585839859414227,0,42.5,5.03050731400847,5.02939737312658,0.00150923927637742,5.0293975995755,-0.0171935187858126,19.8830978308309,3.9096875614696,118.36487797667,0.053083190001835,0,1064.44071430095,19.5395195388586,-0.261330010660171,-0.0257034736551813,0.262591018562302,-5.61733791693646,-382.657926456209,1.00583137610682,18.3566066915158,0.342284683262489,0,1253.40819308721,19.5445140380477,1.09443787282183,-0.0123140415704957,1.09450714620169,0.644634892147853,91.3711070160307,1.00557431471818,15.5930958053724,0.402946623659863,0,1300.5,16.4732968709922,1.85448091120589,0.0822958403315385,1.85630602416814,-2.54093354903209,53.9234453133163,1.19307463577107,12.6668949411705,0.496032005977859,0
51,4.5579471665654,4.55656835724253,-0.00180003454745396,4.55656871278688,0.0226342214350729,21.9463403508592,4.31576932672303,89.3715130699097,0.0703041169535156,0,51,5.03025795726631,5.02867550042249,0.00187928610060853,5.02867585158018,-0.0214122301271393,19.8859520745768,3.9098816714027,98.632508966006,0.063702985689486,0,1064.3723635856,19.4395195388586,-0.260917111951604,-0.0261248645633383,0.262221753212083,-5.71780123888442,-383.263478780757,1.01100606939898,18.2638334138738,0.344023358338708,0,1253.79434883646,19.4445140380477,1.09999572728418,-0.012809221885726,1.10007030512089,0.667167302721674,90.9094440274721,1.01074635640671,15.5085353958506,0.405143693250407,0,1309,15.6866157412026,1.92199444862842,0.098456816888551,1.92451458953948,-2.93249204181705,52.0292865941221,1.2529164382406,11.98366366784,0.524312554268479,0
59.5,4.5576972451261,4.55581952592838,-0.00264927296295954,4.55582029622301,0.033318295771348,21.9499476287139,4.31600643066955,76.5999536995984,0.0820259674283919,0,59.5,5.02996963853318,5.0277991358784,0.00274814739354769,5.02779988693402,-0.0313173273621537,19.8894182717841,3.91010613506021,84.5373048492972,0.074324410014969,0,1064.2989668443,19.3395195388586,-0.260476987989698,-0.026556021647655,0.261827201715055,-5.821277707634,-383.911073188373,1.01623428525384,18.1711343723289,0.345778374560239,0,1254.18584988016,19.3445140380477,1.10561020180575,-0.0132010203417331,1.10568900929467,0.684080889659856,90.4477905835833,1.015971879416,15.4239613211201,0.407365214186319,0,1317.5,15.0060653234805,1.98485843645781,0.115331188590451,1.98820630112658,-3.3254606574561,50.3814267875248,1.30974800041429,11.3898029020725,0.551650047081702,0
68,4.55740827346192,4.55495500520789,-0.00322951734583815,4.55495615009087,0.040623383230623,21.95411368184,4.31628061461723,67.0207099038518,0.0937499068003528,0,68,5.02963897298612,5.02679882241841,0.00358114340236478,5.02680009804003,-0.0408180982217244,19.8933761888425,3.91036359857287,73.9652790145018,0.0849477672618214,0,1064.22692096326,19.2395195388586,-0.260029642263116,-0.0269906629094061,0.261426683297197,-5.92598908598927,-384.571540112389,1.02151685841918,18.0783995968119,0.347552075809167,0,1254.58054024036,19.2445140380477,1.11127843584521,-0.013640829736824,1.11136215259045,0.703264544558754,89.9864487372534,1.02125171763403,15.3394010354733,0.40961086372599,0,1326,14.4103346864479,2.04371329178832,0.132877263932486,2.0480284144275,-3.71999619803959,48.9305424600418,1.36390368195289,10.8675223879697,0.578161708149323,0
76.5,4.55708769552197,4.55397476352445,-0.00405882078329002,4.55397657227656,0.0510659920577546,21.9588392981359,4.3165848282358,59.5697737976728,0.10547606456456,0,76.5,5.02925974093685,5.02566309778173,0.00452288521307194,5.02566513298446,-0.0515637755510728,19.8978717940999,3.91065891881592,65.7419573978673,0.0955734443553915,0,1064.1495562588,19.1395195388586,-0.259556087485983,-0.0274347558181285,0.261001970065039,-6.03368931444347,-385.273183027928,1.02685464109294,17.9857421602908,0.349342565415604,0,1254.98479461546,19.1445140380477,1.11700917325423,-0.0139301464054321,1.11709603083753,0.714494780694358,89.5247795581356,1.02658672237645,15.2547776835126,0.411883112132828,0,1334.5,13.8836150864562,2.09906640680054,0.151054834239123,2.10449455763268,-4.11607304093979,47.6402269485237,1.41565809515468,10.4036081577042,0.603942902494526,0
