A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m)
0.001,0.00406020460128784,0.335342794408338,298.20232212365,90,4060.20460128784,0.00154750460240025,0,632.236979166666,20.0632306170867,2.65962906427311,37.599228156777,0.979573538415693,31.7337189664728,0.197997130869466,0
8.5,0.366937387561798,0.705585825514028,141.72620308401,69.1901123815791,43.1691044190351,0.145548196835167,0,632.72705078125,19.9632306170867,2.67261728897734,37.4165056899202,0.984480909021356,31.551093939223,0.199143184045628,0
17,0.508671522474935,0.942416403383706,106.110207378558,42.4002406806021,29.9218542632315,0.209986495218663,0,633.217122395833,19.8632306170867,2.68568803466102,37.2344064945063,0.989437698565153,31.3687515933436,0.200300776665683,0
25.5,0.610790204252771,1.09254495668427,91.529414316722,34.1642784319701,23.9525570295204,0.262317935385181,0,633.720865885416,19.7632306170867,2.69891185828609,37.051969553205,0.994444657361525,31.1860184522631,0.201474430498313,0
34,0.691605389872989,1.19678794892004,83.5569911029253,29.7322524095981,20.3413349962644,0.308887558674663,0,634.2314453125,19.6632306170867,2.71225696682367,36.8696628760475,0.999502550992044,31.003241423008,0.202662206233595,0
42.5,0.758414533877215,1.27210030415718,78.6101533607089,26.8887287295547,17.8450478559345,0.35209685947074,0,634.755696614583,19.5632306170867,2.7257401901561,36.6872823613733,1.00461216069573,30.8200945992696,0.203866515949257,0
51,0.815071717728761,1.32764810663053,75.3211634171588,24.8864861098827,15.9817983868384,0.393146325281766,0,635.279947916667,19.4632306170867,2.73935945259684,36.5048843463032,1.00977428377143,30.6372500515943,0.205083200894286,0
59.5,0.863938711704722,1.36907095165113,73.04223340609,23.3919475267863,14.5199783479785,0.432726906101367,0,635.82470703125,19.3632306170867,2.75309735948346,36.3227256223013,1.01498973399258,30.4537247498547,0.206319107392916,0
68,0.906586229411862,1.40012800133945,71.4220413450299,22.2310441608164,13.3321504325274,0.471280708913249,0,636.369466145833,19.2632306170867,2.76696822888717,36.1406390416772,1.02025934203505,30.2705136589194,0.20756784565921,0
76.5,0.944150742956244,1.42343665184649,70.2525116732659,21.3023501184417,12.3418397772058,0.509096327662917,0,636.927897135417,19.1632306170867,2.78098409949685,35.9584939799161,1.02558395591822,30.0869701315853,0.208834099269554,0
