S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
0.001,6.56698457241058,6.56592055993317,15.2301568511541,2.99397671840277,6566984.57241058,9.56783929960289e-07,0,1066.86478515625,20.0142396064097,-0.127990671772495,-781.306939131871,0.981971580620258,18.7598652471019,0.334926995712309,0,1303.52408854167,20.0294825195348,2.36072716420313,42.3598294272838,0.9812242037711,15.3656404937963,0.408911383141909,0
8.5,6.56588975667954,6.56581791298936,15.2303949523435,2.99447639786719,772.457618432887,0.00813401946883056,0,1066.82848958334,19.9142396064097,-0.126246516150203,-792.10106583079,0.98690306925721,18.6667677146374,0.336597390787301,0,1304.4033203125,19.9294825195348,2.36975403045445,42.1984723793561,0.986148169377828,15.2786198940066,0.411240370581137,0
17,6.56578197956085,6.56549455274376,15.2311450716549,2.99452559691398,386.222469385932,0.0162683059770433,0,1066.79219401042,19.8142396064097,-0.124463462949861,-803.448639704681,0.991884342535395,18.5736638472404,0.338284646414181,0,1305.296875,19.8294825195348,2.37883398885003,42.0374017139136,0.991121805456466,15.1915498300222,0.413597386539356,0
25.5,6.56560230016708,6.56495539488292,15.2323959547304,2.99460762213951,257.474600006552,0.0244031267822911,0,1066.762734375,19.7142396064097,-0.122656232888254,-815.286737944295,0.996916158200746,18.4804352187648,0.339991197869611,0,1306.19759114583,19.7294825195348,2.38800652871755,41.8759324136788,0.996145867430915,15.1045160803179,0.415980576522206,0
34,6.56535063743591,6.56420010590113,15.2341486223281,2.99472251595078,193.09854815988,0.0325387496024947,0,1066.72643880209,19.6142396064097,-0.120798546890966,-827.824527477641,1.00199928945607,18.3873192722551,0.34171296066308,0,1307.11979166667,19.6294825195348,2.39724239900165,41.7145967556914,1.00122112612261,15.0173554441448,0.418394925161699,0
42.5,6.56502721150406,6.5632277182284,15.2364056670264,2.99487018540267,154.471228505978,0.0406754407791638,0,1066.69697916667,19.5142396064097,-0.118920405687364,-840.898577683087,1.00713452535722,18.2940797504223,0.34345457070802,0,1308.04915364583,19.5294825195348,2.40654825122749,41.5532910877619,1.00634836814487,14.9302359663638,0.420836303011882,0
51,6.56463429953215,6.56203912220292,15.2391654694112,2.9950496003159,128.71831959867,0.0488134503835189,0,1066.66068359375,19.4142396064097,-0.11697970809808,-854.84911550776,1.01232267122149,18.200951722529,0.345211909957561,0,1309,19.4294825195348,2.41592919380937,41.3919415586525,1.01152839630939,14.8429965771847,0.423309759219208,0
59.5,6.56416618175313,6.5606329089564,15.2424318488362,2.99526338444189,110.322120701733,0.0569530867174571,0,1066.63122395834,19.3142396064097,-0.115018996574097,-869.421599723124,1.01756454904873,18.1077013053614,0.346989670374076,0,1317.5,18.6003633619548,2.49666405219526,40.0534464827465,1.05662271055829,14.1179228553736,0.445050264939509,0
68,6.56362217769352,6.55900620528258,15.2462121349208,2.99551186334135,96.5238555543164,0.0650946366687961,0,1066.59492838542,19.2142396064097,-0.11299598412734,-884.98720350367,1.02286099795557,18.0145611938129,0.348783700006944,0,1326,17.8741038783284,2.5720242804671,38.8798817956102,1.09956050761634,13.4797163486639,0.466121477979198,0
76.5,6.56300911061853,6.55716080016537,15.2505029307011,2.99579193684996,85.7909687662552,0.0732383069865857,0,1066.56546875,19.1142396064097,-0.110949006609122,-901.314964921716,1.02821287462338,17.9212998793325,0.350598748387977,0,1334.5,17.2315193576009,2.64265176447921,37.8407784726442,1.14056978917927,12.9123412196335,0.486603103209963,0
85,6.56231821276253,6.55509372295665,15.2553120102294,2.9961076293688,77.2037436795592,0.081384464116902,0,1066.52917317709,19.0142396064097,-0.108845237465753,-918.735650068879,1.03362105376023,17.8281476818567,0.352430629322968,0,1343,16.658062953329,2.70906472683348,36.9131084279725,1.17983953964277,12.4036209630149,0.506560570168564,0
93.5,6.56156389264241,6.55280459758197,15.2606412278646,2.99645237749412,70.1771539320044,0.0895332021197019,0,1066.49971354167,18.9142396064097,-0.106708558350982,-937.13195591195,1.03908642857762,17.7348754680848,0.35428415150062,0,1351.5,16.1424870092979,2.77168653524832,36.079115992473,1.21752809674284,11.9441265329618,0.526048119955869,0
102,6.5607226489147,6.55029259600228,15.2664936007639,2.9968369460864,64.3208102834775,0.0976851081242301,0,1066.47025390625,18.8142396064097,-0.104528438389574,-956.677451042586,1.04460991128237,17.6415981013039,0.356157377075447,0,1360,15.675915531056,2.83087153720362,35.3248102874995,1.25377180191592,11.5264084787176,0.545112149962485,0
110.5,6.5598140399666,6.54753364092668,15.2729264917296,2.99725242116213,59.3648329408742,0.105840191842828,0,1066.43395833334,18.7142396064097,-0.102289873589292,-977.613878002369,1.0501924335843,17.5484280673667,0.358048326782266,0,1368.5,15.2512609266187,2.88691669405358,34.6390320877559,1.28868750843072,11.1445092631485,0.563792012624205,0
119,6.55883533325787,6.54459068910719,15.2797943752907,2.99770007844433,55.1162633046879,0.113998753370589,0,1066.40449869792,18.6142396064097,-0.100013104991358,-999.868967258245,1.05583494722029,17.4551397983951,0.359961901179232,0,1377,14.8627733816755,2.94007556239066,34.0127312641881,1.32237750777851,10.793589964906,0.582121919362194,0
127.5,6.55778112085578,6.5413939286464,15.2872615669995,2.99818242147184,51.4335774184767,0.12216115663233,0,1066.3750390625,18.5142396064097,-0.0976901508793745,-1023.64464687415,1.06153842449531,17.3618463750674,0.361896146956041,0,1385.5,14.5057362553238,2.99056653988298,33.4384801897479,1.35493185936474,10.4696761135502,0.600131774759269,0
136,6.55664557761408,6.53796823678545,15.2952716162426,2.99870215026669,48.2106292471623,0.130327801260744,0,1066.34557942709,18.4142396064097,-0.0953168491973739,-1049.1324549863,1.06730385884109,17.2685477969563,0.363851400885433,0,1394,14.1762578607536,3.03857676769909,32.9101443356731,1.38642867179683,10.1694819661073,0.617847135981961,0
144.5,6.55543573613293,6.53430912795466,15.3038367242508,2.99925608313957,45.3663372742764,0.138498844841554,0,1066.31611979167,18.3142396064097,-0.0928929777330906,-1076.50763750227,1.07313226539309,17.1752440636345,0.365828007095579,0,1402.5,13.871062014341,3.08427304866074,32.4225509292772,1.41693950246069,9.8902402954303,0.63529147113672,0
153,6.55415382401668,6.53041598031698,15.3129602006067,2.99984323741209,42.8376066929195,0.146674517841776,0,1066.28666015625,18.2142396064097,-0.0904178004583614,-1105.97691486702,1.07902468158655,17.0819351746748,0.367826317271994,0,1411,13.5873938136972,3.12780103291122,31.9713431090354,1.44652760674005,9.62961999553306,0.652485280841216,0
161.5,6.55278803679125,6.52628079208446,15.3226628129895,3.00046906211886,40.5745389275,0.154855371700134,0,1066.25720052084,18.1142396064097,-0.0878928549055664,-1137.74891152918,1.08498216777219,16.9886211296499,0.369846690866139,0,1419.5,13.3229021286307,3.16929178775693,31.5527905591726,1.47525094849692,9.38563024207869,0.669447351442646,0
170,6.55134889185353,6.52190252415917,15.3329491861568,3.00112878318099,38.5373464226678,0.163041462125264,0,1066.22774088542,18.0142396064097,-0.0853120700837958,-1172.16707907542,1.09100580785248,16.8953019281324,0.371889495310969,0,1428,13.0755976111757,3.2088588027513,31.1637270902226,1.50315936104229,9.15658096020706,0.686193387519341,0
178.5,6.549832449092,6.51728690720682,15.343808155725,3.00182425259733,36.6937392105994,0.171233170626683,0,1066.2051171875,17.9142396064097,-0.0826749312530517,-1209.55649414355,1.09709670993928,16.8018698443925,0.373957503859403,0,1436.5,12.8437360912882,3.24660869292065,30.8013713565339,1.53030153947401,8.94099275411637,0.702739111860576,0
187,6.54823455676808,6.51242048671855,15.3552738500133,3.00255742533774,35.0172970950165,0.179430904964786,0,1066.17565755209,17.8142396064097,-0.0799797677877673,-1250.31620828605,1.10325600703349,16.7085409240263,0.376046318810794,0,1445,12.6258224955768,3.28263576181871,30.4633249790089,1.55672000809191,8.73759342254451,0.719097925862272,0
195.5,6.54656020279975,6.50730004273292,15.3673565600645,3.00332606607453,33.486241446546,0.187634832568755,0,1066.14619791667,17.7142396064097,-0.0772284692222889,-1294.85927931793,1.10948485772791,16.615206845951,0.378158717218182,0,1453.5,12.420549948183,3.31702618832939,30.1474858268649,1.58245417437908,8.54527000218991,0.735282244512975,0
204,6.54479591771008,6.50193063231152,15.3800471975273,3.00413641734681,32.0823329299514,0.19584564878428,0,1066.12357421875,17.6142396064097,-0.0744260326281482,-1343.61588907508,1.11578444693392,16.5217616722501,0.380297539198426,0,1462,12.2267752051451,3.34985865899877,29.8520057648906,1.60754006201595,8.36304733594054,0.751303329371022,0
212.5,6.54296013083211,6.49629880267282,15.3933806060239,3.00498007458477,30.7904006156805,0.204063122971507,0,1066.10095052084,17.5142396064097,-0.0715564627715921,-1397.49780979531,1.12215598663313,16.4283125325545,0.382460784984994,0,1470.5,12.0434833473052,3.38120700778482,29.5752374136698,1.63201206155645,8.19006007977231,0.767172065403733,0
221,6.54103918782454,6.49040788913316,15.4073521584721,3.00586337402833,29.5974623883463,0.212287973365363,0,1066.07149088542,17.4142396064097,-0.0686242803300557,-1457.21018157188,1.12860071665493,16.3349641701293,0.384646408877299,0,1479,11.8697979256982,3.41113626829731,29.3157447063572,1.65589916405805,8.02555640682773,0.782897158611231,0
229.5,6.53903476633666,6.48424894876596,15.4219865384766,3.00678561309142,28.4925262149746,0.220520471220182,0,1066.0488671875,17.3142396064097,-0.0656349347937236,-1523.57887326739,1.13511990548094,16.2415065006249,0.386859760019049,0,1487.5,11.7049199525613,3.43971001964062,29.0722181314714,1.67923114361743,7.86885374962106,0.798488001823921,0
238,6.53694911097013,6.47781741616111,15.4372983330027,3.00774582930014,27.4661727351686,0.228760860414104,0,1066.02624348959,17.2142396064097,-0.062576773352374,-1598.03701346014,1.14171485107764,16.1480448643175,0.389098826512652,0,1496,11.5481409453538,3.46698706684375,28.8434880407665,1.70203525914394,7.71934555170711,0.813953108471751,0
246.5,6.53477281921315,6.47111063373898,15.4532978432823,3.00874842802024,26.5102345607024,0.237009796831202,0,1066.00361979167,17.1142396064097,-0.0594508320498914,-1682.06224458019,1.14838688175805,16.0545792609544,0.391364059129262,0,1504.5,11.3988362653693,3.49302107445863,28.6285132177448,1.72433561303771,7.57649469283434,0.829299770132759,0
255,6.5325147039868,6.4641223672128,15.4700041736861,3.00978942925145,25.6177047215168,0.245267301480847,0,1065.98099609375,17.0142396064097,-0.056256666977328,-1777.56709334204,1.15513735707393,15.9611096902831,0.393655919237538,0,1513,11.2564484449033,3.51786167348387,28.4263593289517,1.74615421396372,7.43982051877281,0.844534527590457,0
263.5,6.53016507334844,6.45684631884494,15.4874369098952,3.0108733848635,24.7824101455349,0.253534069942412,0,1065.96520833334,16.9142396064097,-0.0529978664133742,-1886.86841126806,1.16196766873958,15.86753439435,0.395977418483924,0,1521.5,11.1204514087846,3.54156015667272,28.2361432747622,1.76751546025065,7.30887374879039,0.85966532233772,0
272,6.52772710210502,6.44927795647404,15.505611740554,3.01199892069844,23.9989966989155,0.261810332573758,0,1065.94258463542,16.8142396064097,-0.0496622856681942,-2013.60043450525,1.16887924158865,15.7740574856202,0.398323976751537,0,1530,10.9904011699359,3.56415949221934,28.0571058108659,1.78843735841736,7.18326873852021,0.874697235464137,0
